birth,death,lifetime,tipF,endF,tipX,tipY,endX,endY,root_geodesic
0.0,5853.751778352842,5853.751778352842,23956,7080117,5209,3,0,1133,5853.751778352842
5294.43118250999,5508.915522966988,214.48434045699742,5049511,6374319,319,808,339,1020,559.320595842852
5261.283379848047,5379.247519031956,117.96413918390863,8542885,7874213,502,1367,473,1260,592.4683985047948
5318.850488960241,5335.804753177028,16.954264216787124,8286643,8192916,469,1326,477,1311,534.901289392601
5307.805953099985,5319.082846748927,11.27689364894195,8324158,8236674,490,1332,492,1318,545.9458252528564
5278.934577883465,5296.276474326365,17.34189644290018,8430398,8349163,497,1349,499,1336,574.817200469377
5162.563229444533,5233.119459817162,70.55623037262922,8286806,7943098,632,1326,619,1271,691.188548908309
5212.8522447129,5222.901266694706,10.049021981805708,8005596,7986847,627,1281,625,1278,640.8995336399425
5065.48002933629,5201.199495723278,135.71946638698864,5643569,6218402,722,903,647,995,788.2717490165523
3846.9065528719166,3916.9083549408842,70.00180206896766,8056896,7825673,1935,1289,1925,1252,2006.8452254809256
3790.0041662822455,3890.751778328058,100.74761204581273,6407204,7044586,1979,1025,1963,1127,2063.7476120705965
3632.3862838635237,3662.4994361645618,30.1131523010381,6813586,6944795,2176,1090,2156,1111,2221.3654944893183
3578.2850575906036,3593.295990767585,15.010933176981325,9281813,9294334,2048,1485,2071,1487,2275.4667207622383
2867.788474375904,3568.504689425562,700.7162150496579,3808143,8300943,2502,609,2271,1328,2985.963303976938
3406.095535356868,3557.3398049318826,151.24426957501464,10444126,9488121,2047,1671,2139,1518,2447.656242995974
3434.150708927855,3512.1550453737577,78.00433644590294,9787910,9750494,1976,1566,2054,1560,2419.601069424987
3480.8204044654426,3503.2269605157294,22.40655605028678,9994269,9869278,2118,1599,2107,1579,2372.9313738873993
3358.0221485564907,3488.3701258657507,130.34797730925993,5051421,5851263,2229,808,2199,936,2495.729629796351
2906.527701617026,3487.031566009531,580.503864392505,2476967,6438770,2363,396,2300,1030,2947.2240767358157
3422.149344233877,3483.80658288762,61.65723865374321,7007419,7413605,2290,1121,2291,1186,2431.602434118965
3454.4847612021294,3479.478071733326,24.993310531196585,5588782,5751260,2176,894,2180,920,2399.2670171507125
3450.841149728721,3470.770672345664,19.929522616942904,9956668,10025443,2011,1593,2047,1604,2402.910628624121
2508.6907043929214,3463.647329965872,954.9566255729505,14038085,8800939,2831,2246,2347,1408,3345.0610739599206
3313.751722986433,3438.9223722039856,125.17064921755264,8663603,8613484,2489,1386,2362,1378,2540.000055366409
3286.086576738935,3434.079357260448,147.99278052151294,7619925,8488491,2394,1219,2349,1358,2567.665201613907
3391.495852495606,3405.191795820012,13.695943324406016,8988445,9050942,2383,1438,2390,1448,2462.255925857236
3372.0114768276926,3393.7363454581982,21.724868630505625,9119651,9113426,2360,1459,2384,1458,2481.7403015251493
3317.2345769660524,3387.5626026974405,70.32802573138815,5164009,5551416,2335,826,2304,888,2536.5172013867896
3289.2761291629445,3340.7373958517383,51.461266688793785,4907793,5182724,2328,785,2303,829,2564.4756491898975
3305.9921980009344,3323.558901563172,17.566703562237763,9463381,9494652,2395,1514,2421,1519,2547.7595803519075
2938.9089236243076,3321.492869607229,382.58394598292125,5639078,7988652,2480,902,2430,1278,2914.8428547285343
2826.6344054759193,3314.878242441768,488.2438369658489,8376625,9494679,2965,1340,2448,1519,3027.1173728769227
3263.4119286491255,3281.826149246652,18.414220597526764,7751201,7813706,2441,1240,2456,1250,2590.3398497037165
3265.5522864481727,3281.3452083755833,15.792921927410589,7951207,7876208,2479,1272,2468,1260,2588.1994919046692
3006.4777118497473,3225.3064952492095,218.82878339946228,3051847,4395348,2335,488,2301,703,2847.2740665030947
3201.807196742435,3215.896277163898,14.089080421463223,9169868,9069882,2585,1467,2583,1451,2651.944581610407
3155.7250579400043,3214.40858936978,58.68353142977594,8376230,8744932,2570,1340,2581,1399,2698.0267204128377
3082.612995885764,3167.286874050846,84.67387816508199,9826045,9307363,2617,1572,2602,1489,2771.138782467078
3138.524726789611,3165.9088829706766,27.384156181065464,7213792,7063830,2446,1154,2460,1130,2715.227051563231
3124.5953502363755,3158.504292856854,33.90894262047868,9163679,8951210,2645,1466,2642,1432,2729.1564281164665
3075.837512341099,3117.002731929633,41.165219588533546,9051180,9213680,2628,1448,2654,1474,2777.9142660117427
3058.1336315300637,3071.9928128830957,13.859181353032,9038761,8895051,2707,1446,2724,1423,2795.6181468227783
2985.182822246374,3032.5799105714195,47.39708832504539,8763913,8732620,2815,1402,2767,1397,2868.568956106468
2922.6266631518683,2967.8621014600303,45.235438308161974,6945392,6764142,2753,1111,2724,1082,2931.1251152009736
2423.4320168782647,2956.7003017308493,533.2682848525847,3426996,6589166,2544,548,2720,1054,3430.3197614745773
2873.9988073529385,2906.4296024061928,32.430795053254315,12106851,12381821,2538,1937,2552,1981,2979.7529709999035
2809.4875715165645,2859.507643392725,50.02007187616073,6458072,6301799,2855,1033,2807,1008,3044.2642068362775
2785.9767516093866,2827.3370635377687,41.36031192838209,13244213,12987996,2582,2119,2574,2078,3067.7750267434553
1938.3784217277916,2822.0458859578384,883.6674642300468,10064403,6045606,3513,1610,2823,967,3915.3733566250503
2454.7693646311227,2782.5663794593875,327.79701482826476,5651992,5851911,2896,904,2847,936,3398.9824137217192
2620.2852425124106,2725.8210654179475,105.53582290553686,5558112,5208075,2751,889,2658,833,3233.4665358404313
2555.5866461063792,2691.0387733136745,135.45212720729523,7132935,7264298,2826,1141,2960,1162,3298.1651322464627
2423.6764512418067,2675.5189952694973,251.84254402769056,5695950,5114551,3111,911,2869,818,3430.075327111035
2474.0543730412273,2651.3497449741953,177.295371932968,4908516,4952080,3051,785,2872,792,3379.6974053116146
2469.7159913631676,2609.2435048715242,139.5275135083566,6089687,6052054,3161,974,3022,968,3384.0357869896743
2501.7945952894634,2577.0363872865996,75.24179199713626,4670970,4520922,2967,747,2895,723,3351.9571830633786
2446.9312846282733,2574.523427967657,127.59214333938371,4427284,4483426,2992,708,2893,717,3406.8204937245687
2497.6986314108767,2547.5270187142264,49.8283873033497,4033435,4252190,2830,645,2870,680,3356.053146941965
2491.5051997550972,2527.7300383596635,36.22483860456623,4327251,4208484,2943,692,2907,673,3362.2465785977447
2190.62599959076,2509.622260572889,318.9962609821291,6476823,7545678,2859,1036,3135,1207,3663.125778762082
2467.548202524956,2486.373239013657,18.82503648870079,3852264,3908524,2880,616,2899,625,3386.2035758278857
2160.4728050654526,2420.715745784525,260.2429407190725,8351635,7914444,2971,1336,3210,1266,3693.2789732873894
2333.9422274931976,2406.4470819336425,72.50485444044489,3127394,3477388,2894,500,2944,556,3519.8095508596443
2360.5232712975835,2392.786002597481,32.262731299897496,3252411,3408657,2931,520,2952,545,3493.2285070552584
2266.831148195107,2348.8326202376697,82.00147204256291,6551896,6864410,2944,1048,3008,1098,3586.920630157735
2120.1680703383936,2290.476055531457,170.30798519306336,7964698,8220769,3472,1274,3334,1315,3733.5837080144483
2209.3763154957783,2220.036454149112,10.660138653333888,8301705,8314193,3033,1328,3023,1330,3644.3754628570637
2068.626721579257,2081.8260250596445,13.199303480387698,2315345,2246599,3215,370,3208,359,3785.125056773585
2050.0586492937755,2076.5669861598453,26.50833686606984,1959127,2115362,3190,313,3200,338,3803.6931290590665
2005.1691674140566,2031.9767768545858,26.807609440529177,2221662,2071669,3267,355,3250,331,3848.5826109387854
2019.8546212403248,2030.197307257342,10.342686017017058,1902929,1965427,3233,304,3241,314,3833.897157112517
1935.347072545882,1957.988371703189,22.641299157307003,1984252,1846769,3319,317,3314,295,3918.40470580696
1871.7035740163883,1893.9577800666857,22.254206050297398,1384373,1503116,3344,221,3356,240,3982.0482043364536
1850.618411398823,1861.432910265994,10.814498867171096,1328168,1396911,3380,212,3384,223,4003.133366954019
1744.2354928162113,1773.6890103121596,29.45351749594829,915798,1109532,3444,146,3459,177,4109.516285536631
1616.0012025330643,1641.692664229673,25.691461696608712,553485,722210,3573,88,3575,115,4237.750575819778
1613.1890181335411,1641.298405132472,28.10938699893086,553492,747211,3580,88,3580,119,4240.562760219301
