birth,death,lifetime,tipF,endF,tipX,tipY,endX,endY,root_geodesic
0.0,7307.081198453768,7307.081198453768,1569511,9837366,6565,238,0,1498,7307.081198453768
5650.183208138075,5660.297860737594,10.114652599519104,8991870,9044401,1647,1369,1642,1377,1656.8979903156926
5200.990595739547,5231.461160255226,30.470564515679143,8952853,8933185,2032,1363,2065,1360,2106.090602714221
4876.561508947086,5117.303791333055,240.7422823859697,8236925,8243735,1907,1254,2150,1255,2430.519689506682
5065.749208827653,5097.448874826105,31.699665998451565,8959518,9202492,2130,1364,2125,1401,2241.3319896261146
5001.318144237364,5058.951131908785,57.63298767142078,7843117,7908846,2119,1194,2178,1204,2305.7630542164034
5010.2606709155825,5028.981596100575,18.720925184992666,8657536,8677258,2230,1318,2251,1321,2296.8205275381856
5003.837331727562,5025.472764663153,21.63543293559087,8999026,9064713,2236,1370,2253,1380,2303.243866726206
4964.631203112974,4996.042997443903,31.411794330929297,8834848,8861159,2233,1345,2276,1349,2342.449995340794
4931.516734604815,4994.31887490461,62.80214029979561,9931396,9931461,2092,1512,2157,1512,2375.564463848953
4977.844412461627,4991.374190739176,13.529778277548758,8427465,8414343,2004,1283,2016,1281,2329.236785992141
4943.608326485896,4953.7039843090315,10.095657823135298,9616400,9537595,2312,1464,2311,1452,2363.4728719678715
4467.36371554857,4878.436031482028,411.0723159334575,13260897,10607928,2124,2019,2223,1615,2839.717482905197
4866.170296380307,4877.919824662194,11.749528281886342,7961588,7974738,2384,1212,2400,1214,2440.91090207346
4836.144128843052,4857.571846930552,21.42771808749967,8303114,8493560,2426,1264,2429,1293,2470.9370696107153
4775.199197709309,4837.257858038141,62.05866032883205,8979602,8972973,2513,1367,2451,1366,2531.8820007444583
4574.1267742107775,4815.688028605955,241.56125439517746,5157228,6457627,2133,785,2266,983,2732.9544242429906
4653.204856725376,4814.424235186619,161.21937846124274,6293274,6437916,2088,958,2256,980,2653.8763417283917
4774.310685329137,4788.655712247693,14.34502691855596,8414831,8519900,2504,1281,2501,1297,2532.77051312463
4759.203053790775,4785.112483096313,25.909429305537742,8454258,8572443,2529,1287,2508,1305,2547.878144662993
4756.78828279689,4783.694419109464,26.906136312574745,11218705,11074255,2269,1708,2293,1686,2550.2929156568775
4747.6791190864205,4772.174443190797,24.495324104376778,8992746,8782600,2523,1369,2521,1337,2559.402079367347
4718.507906937893,4767.648341116842,49.14043417894936,6247594,6562804,2377,951,2371,999,2588.573291515875
4744.026523330624,4755.68306758956,11.656544258936265,8454264,8552771,2535,1287,2537,1302,2563.0546751231445
4711.492428432182,4754.868754467787,43.37632603560451,6766249,6608593,2239,1030,2191,1006,2595.588770021586
4697.416961042808,4740.570111142659,43.15315009985079,11822781,11573204,2181,1800,2150,1762,2609.6642374109597
4681.549332175964,4725.48107393709,43.93174176112552,8165333,8487129,2552,1243,2565,1292,2625.531866277804
4597.038654287979,4718.227021562747,121.1883672747681,10043352,10877363,2409,1529,2411,1656,2710.0425441657885
4640.711618552576,4716.679530169058,75.96791161648252,11855798,11337007,2363,1805,2365,1726,2666.3695799011916
4693.428526871816,4711.164158072438,17.735631200622265,7607112,7561166,2526,1158,2549,1151,2613.6526715819523
4675.74408077562,4699.131353494487,23.38727271886637,6917555,6727111,2504,1053,2503,1024,2631.3371176781475
2079.1404387457924,4657.49577763657,2578.3553388907776,17755202,10293075,4601,2703,2586,1567,5227.940759707975
4617.757167528947,4647.570926100002,29.813758571054677,6720597,6556413,2556,1023,2547,998,2689.3240309248204
4592.594605375172,4646.097115815208,53.50251044003562,6746916,7134348,2607,1027,2586,1086,2714.4865930785954
4631.645190424146,4644.666057209182,13.02086678503656,6773122,6878195,2545,1031,2546,1047,2675.4360080296224
4507.0677617140645,4637.921614854617,130.85385314055202,9019265,8605426,2774,1373,2656,1310,2800.0134367397036
4616.639148198923,4633.248838944084,16.60969074516106,10174715,10273208,2432,1549,2420,1564,2690.4420502548446
4521.073194306177,4633.236391395225,112.16319708904757,5347800,5446420,2262,814,2377,829,2786.0080041475903
4579.757428949788,4622.732228923936,42.97479997414848,10778974,11153266,2527,1641,2500,1698,2727.3237695039797
4505.153765770667,4612.114046698865,106.9602809281987,7981668,8342766,2763,1215,2676,1270,2801.9274326831005
4598.065489080129,4611.56580298155,13.500313901421578,6477653,6411969,2591,986,2577,976,2709.015709373639
4597.484268805958,4607.876722869496,10.392454063538025,7140963,7200061,2634,1087,2629,1096,2709.59692964781
4399.489668407681,4584.62903304062,185.13936463293885,7279094,7429960,2858,1108,2683,1131,2907.5915300460865
4569.358523303389,4580.4025129604925,11.043989657103339,6346333,6293789,2611,966,2603,958,2737.7226751503786
4528.452440774462,4566.614071031746,38.16163025728383,10765912,10825059,2599,1639,2643,1648,2778.6287576793056
4306.803120794903,4560.453686901328,253.65056610642478,6234707,6195299,2624,949,2618,943,3000.2780776588643
4429.549550859654,4559.275252972917,129.72570211326274,10765876,11540762,2563,1639,2543,1757,2877.531647594113
4416.509644008413,4558.997001656653,142.4873576482405,9977929,10148707,2656,1519,2692,1545,2890.571554445355
4498.253279648312,4555.8646496029105,57.61136995459856,7003071,7088473,2649,1066,2680,1079,2808.8279188054553
4501.654130201947,4533.290692707492,31.636562505545044,10523063,10299773,2729,1602,2717,1568,2805.4270682518213
4457.1238532233765,4526.5209136569465,69.39706043357,11015610,10739743,2751,1677,2698,1635,2849.9573452303907
4507.242649849594,4520.89560307794,13.652953228345723,8034208,8073599,2767,1223,2756,1229,2799.8385486041734
4460.463193887077,4482.68090776098,22.21771387390254,6733863,6694485,2688,1025,2712,1019,2846.618004566691
4424.651466808735,4479.348948941631,54.69748213289586,9268766,9616781,2729,1411,2693,1464,2882.4297316450325
4427.886549220679,4469.035995835164,41.14944661448499,11705034,11908583,2640,1782,2612,1813,2879.1946492330894
4436.374794277712,4456.560766196594,20.185971918882387,7719040,7817533,2815,1175,2803,1190,2870.706404176056
4347.137359612076,4436.999163303427,89.86180369135127,11199590,10917137,2855,1705,2783,1662,2959.943838841692
4311.534309150524,4415.973161439488,104.43885228896397,11567187,12171301,2700,1761,2650,1853,2995.5468893032435
4287.017290171987,4413.161497615134,126.14420744314702,6051086,5913051,2879,921,2751,900,3020.063908281781
4311.073852715235,4410.189631381594,99.11577866635889,9078460,8408636,2866,1382,2876,1280,2996.0073457385324
4381.759721946812,4395.346406761924,13.586684815112676,4987036,4987018,2683,759,2665,759,2925.3214765069556
4348.648926943606,4379.825336262187,31.176409318581136,11278384,11186421,2845,1717,2820,1703,2958.432271510162
4324.1446468229005,4378.631057799546,54.48641097664586,10483778,10851533,2846,1596,2849,1652,2982.936551630867
4020.9566982853607,4376.4661851968785,355.5094869115178,2011736,4008386,2234,306,2516,610,3286.124500168407
4300.046914305349,4370.565598750947,70.51868444559841,4967412,5440238,2760,756,2762,828,3007.034284148419
4325.328165443459,4356.210810890225,30.88264544676622,10766208,10897524,2895,1639,2871,1659,2981.753033010309
3934.554659526033,4352.178716481567,417.6240569555339,11653047,11028862,3189,1774,2869,1679,3372.5265389277347
4335.5561545174905,4352.113645719832,16.557491202341225,3863868,3725941,2472,588,2452,567,2971.525043936277
4301.871455132353,4350.496239984815,48.624784852461744,3469762,3804681,2386,528,2388,579,3005.209743321415
4330.929266015462,4343.385515272072,12.456249256609226,3588022,3673390,2440,546,2437,559,2976.1519324383053
4323.3409993268415,4342.616884425657,19.275885098815706,10162059,10004448,2910,1547,2907,1523,2983.7401991269257
4323.060267774509,4341.802758296569,18.742490522059597,5262903,5243225,2736,801,2759,798,2984.0209306792585
4142.637040717447,4335.404829457977,192.7677887405298,4238581,4514201,2866,645,2672,687,3164.4441577363204
4222.4481383051025,4317.6115878431065,95.16344953800399,5125163,5387757,2903,780,2817,820,3084.633060148665
4289.329583655766,4307.861645201599,18.53206154583222,11258750,11271865,2912,1714,2893,1716,3017.7516147980014
3634.4871697500016,4305.274124699243,670.7869549492411,3661168,4310639,3349,557,2687,656,3672.594028703766
3727.0321345083253,4298.037982369054,571.0058478607284,15534,4021659,2400,2,2655,612,3580.0490639454424
4244.63212179073,4274.664685409734,30.032563619004577,3621078,3673578,2661,551,2625,559,3062.4490766630383
4169.404593259265,4261.909297980008,92.50470472074267,7338376,7817724,3037,1117,2994,1190,3137.676605194502
4207.511482884646,4240.067615179281,32.55613229463506,9452920,9669624,3007,1439,3000,1472,3099.5697155691214
4122.2693450274255,4213.542472791688,91.27312776426243,7298986,7758667,3049,1111,3040,1181,3184.8118534263417
4178.786556385898,4205.6475041300955,26.8609477441978,4961003,5158019,2918,755,2924,785,3128.2946420678695
4148.362858061999,4183.9773336825,35.61447562050125,3273114,3509516,2748,498,2738,534,3158.718340391769
4086.5166710475205,4181.6847890940135,95.16811804649296,11515030,11029037,3079,1753,3044,1679,3220.564527406247
4151.277385736643,4162.038695007148,10.76130927050508,12027164,12040286,2987,1831,2975,1833,3155.803812717125
4037.6338106304156,4156.247427134105,118.61361650368963,12276674,12723158,2951,1869,2879,1937,3269.447387823352
4113.566850972751,4155.790469749599,42.223618776847616,12368650,12105954,2989,1883,2973,1843,3193.514347481016
4118.506842744997,4154.724216820994,36.21737407599721,5118621,5066123,2928,779,2966,771,3188.5743557087712
4132.567386460285,4149.869462959776,17.302076499490795,7955731,7837537,3094,1211,3106,1193,3174.513811993483
3926.4015556658746,4142.774110413695,216.37255474782023,2570647,3516139,2950,391,2794,535,3380.679642787893
4129.661757292802,4142.520827083461,12.859069790659305,9893008,9787933,3106,1506,3103,1490,3177.419441160966
4075.5540820244732,4138.4904617197535,62.936379695280266,3831430,3654064,2869,583,2812,556,3231.5271164292944
4014.300100222439,4133.958646402793,119.65854618035428,4232166,5007047,3018,644,2993,762,3292.7810982313285
4115.952982988538,4131.12326109739,15.170278108852472,12375195,12283266,2967,1884,2976,1870,3191.1282154652304
4085.2036757131227,4118.688700054284,33.48502434116108,10024374,9801090,3132,1526,3126,1492,3221.877522740645
4061.9947745828185,4112.2508316148305,50.256057032011995,8349832,8684746,3175,1271,3172,1322,3245.086423870949
3981.6694558192453,4090.0795592427767,108.41010342353138,8770112,9538435,3167,1335,3151,1452,3325.4117426345224
4030.5568289348853,4085.5951785537904,55.03834961890516,7338522,7712828,3183,1117,3170,1174,3276.5243695188824
4031.485048192504,4060.246246355059,28.761198162555047,4961183,5053098,3098,755,3075,769,3275.5961502612636
3855.303566304798,4058.5858252191947,203.2822589143966,11810703,12230825,3237,1798,3071,1862,3451.7776321489696
4020.5265767534547,4056.675522487838,36.14894573438323,8126563,7877029,3184,1237,3196,1199,3286.554621700313
4019.122419743579,4056.3346557518666,37.21223600828762,5506227,5263247,3081,838,3080,801,3287.9587787101887
4031.378825552886,4049.581204651872,18.202379098986057,4698418,4540817,3013,715,3020,691,3275.7023729008815
3978.327012189319,4048.0258983868475,69.69888619752874,9045953,9538478,3194,1377,3194,1452,3328.754186264449
3847.857106666501,4046.97770688359,199.1206002170893,5933086,7719434,3085,903,3209,1175,3459.224091787267
4011.167547450452,4032.0088853750867,20.8413379246349,10943837,10983218,3215,1666,3194,1672,3295.913651003316
3993.456172636269,4025.7583675176875,32.30219488141847,7233473,7062693,3206,1101,3168,1075,3313.6250258174987
4011.3577247546577,4021.511009887184,10.153285132526435,9078824,9039431,3230,1382,3239,1376,3295.72347369911
3957.5413525937165,4015.826005015109,58.284652421392366,12907249,12710200,3094,1965,3055,1935,3349.539845860051
3965.437205724112,4010.262539338417,44.82533361430478,12756065,12736411,2951,1942,2998,1939,3341.6439927296556
3998.8061741054953,4009.6941291256026,10.887955020107256,7949297,7929609,3227,1210,3240,1207,3308.2750243482724
3987.6388689554815,4007.991845449659,20.35297649417771,12230893,12395045,3139,1862,3116,1887,3319.442329498286
3976.3957203219657,3996.7946330136992,20.398912691733585,3936644,3989163,3011,599,2994,607,3330.685478131802
3957.1332425333862,3988.950510971609,31.817268438222982,9374369,9604209,3260,1427,3255,1462,3349.9479559203814
3920.1614227794275,3976.9053364280803,56.74391364865278,1309258,1447229,2425,199,2489,220,3386.91977567434
3941.0093206389824,3968.0886453193834,27.079324680400987,12907301,12795641,3146,1965,3125,1948,3366.0718778147852
3901.2402664138317,3964.443605564409,63.20333915057745,6977347,6622699,3193,1062,3163,1008,3405.840932039936
3927.99031361187,3951.1264307522106,23.136117140340502,12408241,12546134,3178,1889,3164,1910,3379.0908848418976
3922.2916265670397,3940.01353735419,17.721910787150136,6504535,6708106,3205,990,3199,1021,3384.789571886728
3889.8417005059987,3937.05112276198,47.20942225598128,7259849,7647299,3314,1105,3311,1164,3417.239497947769
3902.3640880824205,3931.667361187154,29.303273104733307,4987513,4987548,3160,759,3195,759,3404.717110371347
3883.2090314512143,3928.8515598255167,45.6425283743024,13419423,13340580,3042,2043,3003,2031,3423.8721670025534
3895.5591494526725,3926.9572918444983,31.398142391825786,12972829,13202673,3004,1975,3003,2010,3411.522049001095
3702.618575398764,3919.9482813903464,217.3297059915826,6156622,5250252,3343,937,3219,799,3604.462623055004
3900.4551490044596,3918.2339740764396,17.77882507198001,7364927,7430581,3320,1121,3304,1131,3406.626049449308
3854.0563636412876,3916.7399097827342,62.68354614144664,13150340,12710339,3206,2002,3194,1935,3453.02483481248
3863.440438173047,3910.462872482483,47.022434309435994,4646044,4987578,3175,707,3225,759,3443.6407602807208
3874.6466601610277,3905.6397847968506,30.993124635822824,10070555,9821005,3344,1533,3340,1495,3432.43453829274
3878.714851513923,3890.2482422413896,11.533390727466667,4921930,5013868,3247,749,3247,763,3428.366346939845
3850.2785058936906,3876.7716450392118,26.493139145521127,13242162,13412927,3090,2016,3113,2042,3456.802692560077
3751.648249302857,3863.9153521440467,112.26710284118963,8835956,8139899,3341,1345,3386,1239,3555.4329491509106
3822.782576691606,3838.418554624405,15.635977932798596,12572505,12684152,3267,1914,3275,1931,3484.2986217621615
3780.926901315198,3814.7671121930007,33.84021087780275,4777552,4941705,3343,727,3321,752,3526.1542971385697
3745.3649620580027,3782.9201213127776,37.555159254774935,13137172,13327650,3172,2000,3207,2029,3561.716236395765
3766.867489616717,3780.169139901758,13.301650285040978,13833312,13728240,3210,2106,3210,2090,3540.2137088370505
3761.7840161123445,3777.4399193704053,15.655903258060789,8698083,8684927,3375,1324,3353,1322,3545.297182341423
3741.4815084990687,3766.5144473198825,25.032938820813797,13445888,13603488,3239,2047,3231,2071,3565.599689954699
3734.0766129589565,3762.895319818624,28.8187068596676,9203844,9033117,3477,1401,3492,1375,3573.004585494811
3665.463299017025,3762.01086845668,96.54756943965504,2465841,2925486,3216,375,3171,445,3641.617899436743
3736.7663121519286,3754.9336461427497,18.167333990821135,6038362,6176278,3289,919,3298,940,3570.314886301839
3713.964466424335,3749.9911494532557,36.026683028920615,13577268,13747975,3279,2067,3244,2093,3593.1167320294326
3229.626768692447,3748.906291897067,519.2795232046201,11390763,12756477,3585,1734,3363,1942,4077.4544297613206
3723.533319025723,3741.6580530820434,18.12473405632045,5112529,4981182,3403,778,3396,758,3583.547879428045
3711.174425266392,3736.3093793443413,25.13495407794926,6511210,6347028,3313,991,3306,966,3595.9067731873756
3714.20149700277,3732.7352248687594,18.533727865989476,9374587,9453405,3478,1427,3492,1439,3592.879701450998
3669.581146777909,3727.0371836648583,57.45603688694928,9368119,9184191,3577,1426,3525,1398,3637.5000516758587
