birth,death,lifetime,tipF,endF,tipX,tipY,endX,endY,root_geodesic
0.0,5464.931534050642,5464.931534050642,2063968,7369245,4843,425,0,1521,5464.931534050642
4615.869857961554,4672.434681185441,56.56482322388729,6115149,6371914,759,1262,739,1315,849.0616760890878
4522.863050665682,4643.779197495038,120.91614682935597,7103601,6783753,831,1466,753,1400,942.0684833849604
4404.104312269618,4560.218566840841,156.11425457122277,7432860,7118008,630,1534,703,1469,1060.8272217810236
4544.554523408102,4557.134983583475,12.580460175373446,7215001,7152013,796,1489,793,1476,920.3770106425401
4472.299207352157,4552.525906542614,80.22669919045711,6909830,6517399,860,1426,874,1345,992.6323266984847
4495.712775252962,4520.447455511109,24.73468025814691,6730607,6585259,902,1389,904,1359,969.2187587976797
4492.357219190824,4514.771836923654,22.414617732829356,7321471,7369955,676,1511,710,1521,972.5743148598176
4413.721145449111,4468.204559401254,54.483413952143565,7835069,7602536,704,1617,731,1569,1051.2103886015311
4413.595501478682,4423.971992588624,10.376491109941526,7544266,7486136,601,1557,611,1545,1051.3360325719595
4152.317410406864,4422.8042877347025,270.48687732783856,7418511,7747932,816,1531,777,1599,1312.6141236437784
4332.949121089785,4392.321369377174,59.372248287389084,7161833,6943851,923,1478,966,1433,1131.9824129608564
4230.831675502807,4348.999387627269,118.16771212446201,5151222,5771398,987,1063,1003,1191,1234.0998585478349
4273.653585755085,4334.225634032111,60.572048277025715,5437128,5659960,1038,1122,1000,1168,1191.2779482955564
4308.937371419396,4333.6546772232705,24.717305803874297,5955531,6057295,1026,1229,1045,1250,1155.9941626312457
4287.905242224358,4300.738724152148,12.833481927790672,7278228,7258861,1038,1502,1051,1498,1177.026291826284
4212.791020596601,4278.721932789766,65.93091219316466,7685126,7631793,956,1586,918,1575,1252.140513454041
4237.8026553633545,4277.934557668161,40.13190230480632,7297696,7224985,1126,1506,1090,1491,1227.1288786872876
4254.781335908914,4271.425238306897,16.643902397982856,7452641,7501073,1031,1538,1013,1548,1210.150198141728
4235.595872202401,4255.70832359602,20.112451393619267,7132969,7070002,1129,1472,1147,1459,1229.3356618482417
4225.022874142941,4244.740517850019,19.717643707078423,7917644,7835298,914,1634,933,1617,1239.908659907701
4205.006266376126,4236.052549566038,31.046283189911264,7273256,7423441,911,1501,901,1532,1259.9252676745155
4218.640722331806,4231.531302063965,12.890579732159495,7602783,7622150,978,1569,965,1573,1246.290811718836
4174.327793970186,4230.899076153299,56.571282183113,6706706,6895624,1226,1384,1189,1423,1290.6037400804566
3999.6815519846223,4224.637000461439,224.95544847681685,5156415,5664933,1335,1064,1128,1169,1465.2499820660198
4169.645186320411,4206.487972444648,36.842786124237136,5713289,5485596,1034,1179,1056,1132,1295.2863477302312
4122.701312024599,4191.6780161953275,68.97670417072823,5199848,5475978,1163,1073,1128,1130,1342.230222026043
4131.105049107644,4184.841967479406,53.73691837176193,6726112,6982876,1252,1388,1231,1441,1333.8264849429981
