birth,death,lifetime,tipF,endF,tipX,tipY,endX,endY,root_geodesic
0.0,5617.167138310536,5617.167138310536,827107,5461860,3667,188,0,1247,5617.167138310536
4754.546622817554,4768.123554834896,13.576932017342187,5944491,5948878,831,1357,838,1358,862.6205154929826
4575.529292496128,4596.082425798113,20.553133301985326,5865859,5896497,1039,1339,1017,1346,1041.6378458144084
4412.03680486703,4509.7278091315,97.6910042644704,6544868,6172515,1148,1494,1095,1409,1205.1303334435065
4425.964909902213,4439.411482742454,13.44657284024106,5471746,5506774,1126,1249,1114,1257,1191.2022284083232
4339.978717257864,4352.096883156235,12.118165898370535,5633928,5585743,1248,1286,1243,1275,1277.1884210526716
4240.235214706683,4317.957723324623,77.72250861793964,6312923,6501187,1343,1441,1267,1484,1376.931923603853
4201.027063481053,4278.826813202141,77.79974972108812,6711331,6890963,1171,1532,1223,1573,1416.1400748294823
4226.208622488721,4261.918774921273,35.710152432552604,7039844,6930363,1184,1607,1203,1582,1390.9585158218151
4223.166960569008,4236.88768121956,13.720720650552721,4801702,4841133,1222,1096,1233,1105,1394.0001777415282
4222.53892751928,4236.773573013479,14.234645494198958,6286640,6216580,1340,1435,1360,1419,1394.6282107912557
4184.099547314873,4227.937111888378,43.837564573505006,6356779,6199073,1399,1451,1373,1415,1433.0675909956624
3503.689873013603,4223.784592602461,720.094719588858,10000666,7127492,1126,2283,1232,1627,2113.4772652969327
4162.396983550323,4197.199137995922,34.80215444559872,6216617,6120265,1397,1419,1405,1397,1454.7701547602126
4132.332455965279,4165.081463543322,32.74900757804244,7088001,7258830,1161,1618,1170,1657,1484.8346823452566
4107.333033544246,4131.4736295388675,24.140595994621435,7390358,7482322,1298,1687,1282,1708,1509.8341047662893
3960.274368354184,4104.407523174962,144.13315482077815,8117248,7499699,1108,1853,1139,1712,1656.8927699563517
3661.0046572243014,4100.248927031345,439.244269807044,9387618,7631245,1278,2143,1285,1742,1956.1624810862345
4076.012983862506,4091.1751672038135,15.162183341307355,7727606,7661912,1286,1764,1292,1749,1541.1541544480297
4076.5742060832254,4090.176042164666,13.601836081440524,4267382,4258647,1262,974,1287,972,1540.5929322273105
4047.4780388568865,4089.161724828906,41.68368597201925,6479426,6659046,1406,1479,1446,1520,1569.6890994536493
3941.860442170535,4073.7088850412183,131.84844287068336,7942358,7381715,1418,1813,1415,1685,1675.306696140001
4045.166319897906,4069.067001314449,23.900681416543193,6886863,6786102,1503,1572,1482,1549,1572.0008184126298
4053.1119707057524,4064.0860513376547,10.974080631902325,6483821,6531999,1421,1480,1419,1491,1564.0551676047833
3969.0116520797037,4063.921977821251,94.91032574154724,7635817,7197807,1477,1743,1467,1643,1648.1554862308321
4019.008861036864,4045.350411331503,26.34155029463909,4398927,4552244,1407,1004,1424,1039,1598.158277273672
3997.498756948592,4029.180903503399,31.682146554806877,5954019,6081020,1599,1359,1580,1388,1619.6683813619436
3986.7674961762286,4024.005912764128,37.23841658789934,3768078,3934524,1278,860,1284,898,1630.3996421343072
4003.0727039996327,4013.8600966969516,10.787392697318865,6431351,6483912,1511,1468,1512,1480,1614.094434310903
3973.882899985675,4008.2520676240983,34.36916763842328,6343804,6505823,1564,1448,1523,1485,1643.2842383248606
3954.5749956044506,3992.166429269792,37.591433665341356,3899559,3882000,1359,890,1320,886,1662.5921427060853
3906.958298732432,3990.8362845711667,83.87798583873473,4188674,4499739,1394,956,1479,1027,1710.2088395781036
3963.860274967622,3983.184712945058,19.32443797743599,6689796,6610969,1536,1527,1549,1509,1653.3068633429136
3971.4483601170477,3981.9164661584987,10.468106041450937,5962806,6024123,1626,1361,1623,1375,1645.7187781934879
3970.2431305746604,3981.043467548371,10.800336973710728,4372697,4420875,1457,998,1455,1009,1646.9240077358752
3966.570198018176,3977.4787198841123,10.908521865936109,4508449,4464652,1429,1029,1432,1019,1650.5969402923597
3939.468182464212,3962.793912015961,23.325729551748736,3886438,3899603,1378,887,1403,890,1677.6989558463235
3943.2650625879905,3955.718985348881,12.453922760890237,5266319,5301382,1559,1202,1582,1210,1673.9020757225453
3926.5100047892074,3946.689645078893,20.17964028968572,4298232,4328911,1452,981,1471,988,1690.6571335213287
3869.982056727057,3946.5913682551327,76.60931152807552,4885319,4942200,1619,1115,1560,1128,1747.185081583479
3879.955110467853,3945.1681005737464,65.21299010589337,4048581,3978485,1461,924,1445,908,1737.2120278426828
3867.58976502999,3940.284116934852,72.69435190486229,6759844,6803717,1504,1543,1577,1553,1749.577373280546
3909.56704188245,3925.9901170904195,16.423075207969305,5108673,5240109,1593,1166,1629,1196,1707.6000964280856
3838.3299713905326,3925.5884735309387,87.25850214040611,3264453,3654283,1353,745,1363,834,1778.837166920003
3913.210382815848,3925.3687766532694,12.1583938374215,6067995,6006661,1695,1385,1681,1371,1703.9567554946882
3899.57005526549,3911.965404663765,12.395349398275357,6650443,6733669,1603,1518,1609,1537,1717.5970830450458
3876.0873707171713,3911.2754536200728,35.18808290290144,4114299,3947857,1479,939,1477,901,1741.0797675933647
3731.6958990735175,3907.7166609280966,176.02076185457918,5875090,5555520,1510,1341,1680,1268,1885.4712392370182
3861.4618728806927,3903.914544361446,42.45267148075345,3606178,3777021,1438,823,1461,862,1755.7052654298432
3881.2610405540627,3896.2271318571657,14.966091303102985,6488445,6431516,1665,1481,1676,1468,1735.9060977564732
3869.0413297731156,3890.253653933686,21.21232416057046,7132286,7228647,1646,1628,1647,1650,1748.1258085374202
3869.366245685459,3887.9203709632384,18.55412527777935,8226721,8323079,1081,1878,1079,1900,1747.8008926250766
3835.8368817140326,3864.5631610205546,28.726279306521974,4337761,4206351,1561,990,1551,960,1781.3302565965032
3839.966204511631,3859.6388602296893,19.672655718058195,4048655,3934766,1535,924,1526,898,1777.2009337989045
3842.6129021131464,3856.5032109054127,13.890308792266296,3904117,3882210,1537,891,1530,886,1774.5542361973896
3824.789975463879,3853.2505953524696,28.460619888590827,8095721,8187742,1481,1848,1522,1869,1792.377162846657
3170.370689294473,3840.263462355765,669.8927730612922,404169,3189985,1209,92,1345,728,2446.796449016063
3728.0621045015387,3839.1104054572806,111.04830095574198,9019521,8568357,1101,2059,1077,1956,1889.1050338089974
3814.893008350275,3833.026588347673,18.1335799973981,7780511,7872484,1631,1776,1624,1797,1802.2741299602608
3819.9491404865685,3832.5667789234844,12.617638436915968,7294395,7377618,1695,1665,1698,1684,1797.2179978239674
3788.9018243362916,3825.6943915837073,36.79256724741572,3615042,3509889,1542,825,1509,801,1828.2653139742445
3772.019475063788,3813.454585955048,41.43511089126014,8625487,8761231,1267,1969,1231,2000,1845.147663246748
3739.4252936490984,3813.177438249505,73.75214460040661,8038998,8038919,1698,1835,1619,1835,1877.7418446614372
3776.1037956344817,3810.0684853911007,33.96468975661901,8923240,8818154,1180,2037,1214,2013,1841.0633426760542
3766.8666401279997,3802.3750998837954,35.508459755795684,7268172,7101726,1752,1659,1746,1621,1850.300498182536
3772.4306466928965,3784.6304521129105,12.199805420013945,6847673,6817023,1733,1563,1743,1556,1844.736491617639
3679.477201129793,3775.1971003915633,95.71989926177048,2598724,3019219,1384,593,1399,689,1937.6899371807428
3749.194733045504,3762.853895569946,13.659162524441854,7290085,7390827,1765,1664,1767,1687,1867.972405265032
3717.39768355635,3758.247753540085,40.85006998373501,3921648,3904172,1548,895,1592,891,1899.769454754186
3724.2669815634536,3755.6461404591464,31.379158895692854,3032301,2887753,1341,692,1333,659,1892.9001567470825
3399.048475431966,3753.796734481305,354.74825904933914,1420482,2966677,1362,324,1417,677,2218.11866287857
3723.144765002731,3745.70951165278,22.56474665004862,4797809,4872285,1709,1095,1725,1112,1894.0223733078044
3689.517050459942,3744.204817264491,54.68776680454903,3111115,2857071,1315,710,1311,652,1927.650087850594
3691.386227993341,3736.699012553967,45.312784560625914,6576184,6768891,1804,1501,1791,1545,1925.7809103171946
3716.3463941328764,3729.1472658816797,12.800871748803274,7303257,7364575,1797,1667,1795,1681,1900.8207441776592
3675.092828815833,3725.150028331207,50.05719951537412,7241970,7425905,1830,1653,1805,1695,1942.074309494703
3710.812972318964,3722.738875390988,11.925903072024084,5844798,5897349,1878,1334,1869,1346,1906.3541659915718
3670.0267587829558,3712.4300238059514,42.40326502299558,6260890,6063802,1870,1429,1882,1384,1947.1403795275803
3676.0445376618486,3711.598606237162,35.55406857531352,3400494,3496887,1614,776,1647,798,1941.1226006486872
3549.760171317423,3698.7206292171322,148.96045789970913,4346526,4854696,1566,992,1656,1108,2067.4069669931127
3672.8705362680575,3697.537816163079,24.667279895021238,4863640,4916218,1840,1110,1858,1122,1944.2966020424783
3618.1150424487923,3697.0892965122866,78.9742540634943,4486760,4018113,1640,1024,1653,917,1999.0520958617437
3674.4690955277233,3694.392108662836,19.923013135112797,7771921,7868280,1801,1774,1800,1796,1942.6980427828125
3678.095217228689,3688.5559784549737,10.46076122628483,7377751,7298909,1831,1684,1829,1666,1939.0719210818472
3607.3924123003917,3682.58633087587,75.19391857547816,9580132,9256010,1072,2187,1070,2113,2009.774726010144
3666.8628819075143,3681.619521358889,14.756639451374667,7382155,7434707,1855,1685,1847,1697,1950.3042564030216
3668.7532645121155,3679.717871818997,10.96460730688159,7268283,7220101,1863,1659,1861,1648,1948.4138737984201
3658.27592449914,3676.7063582280925,18.43043372895272,4819850,4837388,1850,1100,1868,1104,1958.891213811396
3649.372386012089,3669.120262873432,19.747876861342775,3216508,3177110,1588,734,1610,725,1967.7947522984466
3612.721358782778,3659.9086021225803,47.18724333980208,3343592,3163985,1652,763,1625,722,2004.4457795277574
3630.393534818774,3655.674982821506,25.281448002732304,2914292,2852951,1592,665,1571,651,1986.773603491762
3640.965661931792,3654.5899412959966,13.62427936420454,6882859,6821548,1879,1571,1888,1557,1976.2014763787438
3642.648882018002,3652.873842791969,10.224960773966814,3711575,3781655,1715,847,1715,863,1974.518256292534
3637.5538694621805,3649.5821855264467,12.028316064266164,6138331,6098906,1951,1401,1946,1392,1979.6132688483553
3426.4798068083564,3647.6797886771947,221.19998186883822,1674555,2620715,1395,382,1475,598,2190.6873315021794
3460.702858077061,3638.85704101408,178.15418293701896,4797903,3930574,1803,1095,1714,897,2156.4642802334747
3613.863695427777,3633.479497778295,19.615802350517697,4364160,4416729,1680,996,1689,1008,2003.3034428827586
3617.5941859012473,3632.4767424750585,14.882556573811144,3142124,3199075,1664,717,1675,730,1999.5729524092883
3609.777770288314,3627.4107184432814,17.63294815496738,4311610,4228404,1690,984,1704,965,2007.3893680222218
3612.4582362935553,3626.5339769960174,14.075740702462099,2265745,2327065,1285,517,1285,531,2004.7089020169803
3602.5057077281626,3616.6018254103074,14.096117682144722,7417241,7369068,1901,1693,1908,1682,2014.661430582373
3523.0141315457454,3604.5364400984517,81.52230855270636,4613898,4294122,1758,1053,1722,980,2094.1530067647905
3576.229241324281,3593.863702569554,17.634461245273087,6212825,6300427,1985,1418,1987,1438,2040.937896986255
3582.816859670187,3593.4595750115377,10.642715341350595,6081455,6050785,2015,1388,2005,1381,2034.350278640349
3570.309095676398,3591.660579584234,21.3514839078357,2695300,2739122,1600,615,1622,625,2046.858042634138
3530.6214420160204,3589.7375692723544,59.11612725633404,7623024,7855203,1824,1740,1863,1793,2086.5456962945154
3509.9316668322554,3579.2182000833,69.2865332510446,7899096,7583727,1956,1803,1947,1731,2107.2354714782805
3266.3000594170626,3578.895199274408,312.5951398573452,1000122,2502545,1482,228,1565,571,2350.8670788934733
3541.2976443893153,3566.434709828803,25.137065439487742,6300471,6366151,2031,1438,2011,1453,2075.8694939212205
3551.8661739680615,3561.9050121913033,10.038838223241783,2178261,2130075,1401,497,1395,486,2065.3009643424743
3542.4989488357874,3557.8072668707814,15.308318034994045,8065462,7991008,1882,1841,1888,1824,2074.6681894747485
3521.5154940291177,3554.82472346302,33.309229433902146,2498254,2577066,1654,570,1626,588,2095.651644281418
3218.4742942319976,3544.6633012323828,326.1890070003851,965116,2353644,1516,220,1584,537,2398.692844078538
3418.126469709797,3537.1683699940727,119.04190028427547,2572440,2046834,1380,587,1374,467,2199.0406686007386
3513.421800695721,3536.978074512891,23.556273817170222,6580795,6611455,2035,1502,2035,1509,2103.745337614815
3515.3605916075203,3532.6807792660015,17.320187658481245,8306368,8376460,1888,1896,1900,1912,2101.8065467030156
3242.419449065898,3527.3636176723767,284.9441686064788,4412650,3413861,1990,1007,1841,779,2374.747689244638
3493.4628619384794,3525.0681085037227,31.605246565243306,2200296,2287920,1536,502,1560,522,2123.7042763720565
3512.1918418050623,3522.9849289263825,10.79308712132024,5704824,5753004,2064,1302,2064,1313,2104.9752965054736
3501.2646382290127,3521.7698660647247,20.50522783571205,5569039,5468303,2059,1271,2063,1248,2115.902500081523
3504.601809319172,3519.3563813562328,14.754572037060825,5682929,5783672,2069,1297,2072,1320,2112.565328991364
3460.7846565328523,3515.2131089187487,54.428452385896435,4771635,4600776,1815,1089,1776,1050,2156.3824817776836
3481.039680948911,3513.986794068874,32.94711311996298,8306384,8446557,1904,1896,1917,1928,2136.1274573616247
3482.101447713407,3503.935866273392,21.834418559984897,7299105,7478684,2025,1666,2024,1707,2135.0656905971287
3485.4616012443357,3502.9401977454995,17.478596501163793,2182744,2095135,1504,498,1495,478,2131.7055370662
3389.6751952982668,3502.6932834923678,113.01808819410098,4377558,4622942,1938,999,2042,1055,2227.491943012269
3192.4368453663183,3496.6995762938823,304.262730927564,9401597,8958955,2117,2146,1855,2045,2424.7302929442176
3465.1247811941575,3493.9811367516486,28.856355557491042,5586591,5520887,2091,1275,2087,1260,2152.0423571163783
3471.9867311918033,3485.0421020799545,13.055370888151174,8464102,8525420,1942,1932,1940,1946,2145.1804071187325
3277.4369538668243,3479.413561349859,201.9766074830345,9975147,9099109,1887,2277,1849,2077,2339.7301844437116
3431.8013776512435,3478.3652435112267,46.56386585998325,3256110,3111600,1770,743,1800,710,2185.3657606592924
3445.168944891357,3473.88837208972,28.719427198363064,5542795,5420170,2095,1265,2110,1237,2171.9981934191787
3445.489738455056,3470.6343367454415,25.144598290385602,8753156,8656809,1916,1998,1929,1976,2171.67739985548
