birth,death,lifetime,tipF,endF,tipX,tipY,endX,endY,root_geodesic
0.0,3503.076788181928,3503.076788181928,7974691,4088750,3264,2437,0,1250,3503.076788181928
2191.3288167079886,2643.6221464128694,452.29332970488076,6274663,4809201,885,1918,831,1470,1311.7479714739393
2565.4665486689837,2577.353783586086,11.887234917102433,4845231,4855058,880,1481,894,1484,937.6102395129442
2483.0209352432257,2494.2031590426395,11.182223799413805,4704698,4707960,1000,1438,991,1439,1020.055852938702
2294.5229562839077,2351.7154983442515,57.19254206034384,4505326,4691748,1159,1377,1134,1434,1208.5538318980205
2151.072185890889,2322.5742344853534,171.5020485944642,4574178,4891303,1320,1398,1158,1495,1352.0046022910385
2096.747176157982,2314.1854603804572,217.43828422247543,4554096,4230470,864,1392,1067,1293,1406.329612023946
2086.1594395619054,2250.6340574092287,164.47461784732332,4135479,4070186,935,1264,1062,1244,1416.9173486200225
84.54975082603733,2178.2875747707353,2093.737823944698,1988712,4963405,3215,607,1298,1517,3418.5270373558906
2105.08981526774,2137.1556864577874,32.065871190047346,5735328,5607757,1265,1753,1263,1714,1397.9869729141878
2085.459169721644,2101.7113294959636,16.252159774319807,5617626,5542395,1319,1717,1321,1694,1417.6176184602843
2080.185397070225,2098.646740845181,18.46134377495582,5277472,5359247,1349,1613,1349,1638,1422.8913911117031
2061.197361258053,2096.241916497917,35.04455523986371,5303654,5189169,1363,1621,1363,1586,1441.8794269238745
1977.5357882245182,2092.1382400913844,114.6024518668662,3350760,3582921,1256,1024,1176,1095,1525.5409999574097
2022.612532793598,2089.9721285758555,67.35959578225766,4194817,4060651,1395,1282,1340,1241,1480.46425538833
2056.8377765134655,2083.518854421839,26.68107790837348,6049241,6016504,1162,1849,1135,1839,1446.2390116684624
2045.343272955275,2076.8391267927022,31.49585383742715,4584021,4691978,1350,1401,1364,1434,1457.7335152266528
1901.7657222089224,2040.940112845584,139.17439063666166,4891664,4659305,1519,1495,1401,1424,1601.3110659730055
2010.3088722217078,2034.7688975047072,24.460025282999368,6068908,6095102,1203,1855,1229,1863,1492.76791596022
2009.6685385163576,2033.6654970872978,23.99695857094025,3717184,3625566,1328,1136,1298,1108,1493.4082496655703
1977.3813398387363,2029.1644148788932,51.78307504015697,5827037,5656939,1386,1781,1380,1729,1525.6954483431916
1961.213006207569,2019.2424635872321,58.0294573796632,6033070,6065718,1346,1844,1284,1854,1541.863781974359
1999.8605303682766,2015.6541644255428,15.793634057266217,3367058,3331061,1199,1029,1183,1018,1503.2162578136513
1997.7883536092443,2013.9311861682238,16.142832558979535,3694302,3720482,1343,1129,1355,1137,1505.2884345726836
1783.253918895265,1997.9337696535017,214.67985075823663,3020428,3684516,1295,923,1370,1126,1719.8228692866628
1881.1849802323936,1995.1264275939564,113.94144736156272,4293023,3926625,1471,1312,1425,1200,1621.8918079495343
1974.1022906293472,1986.393591636414,12.29130100706675,3789191,3795753,1373,1158,1393,1160,1528.9744975525807
1934.731583360508,1985.0502052835088,50.31862192300082,4561294,4508910,1520,1394,1472,1378,1568.3452048214199
1873.3283488519064,1979.3098993381607,105.98155048625426,6105109,6144253,1423,1866,1315,1878,1629.7484393300215
1943.0406506656075,1976.455258584036,33.4146079184286,3952839,3890660,1471,1208,1441,1189,1560.0361375163204
1933.2462557682836,1955.7180944029835,22.471838634699907,3720582,3789265,1455,1137,1447,1158,1569.8305324136443
1407.7916174245802,1918.783926442751,510.9923090181708,8060994,6337269,1250,2464,1342,1937,2095.2851707573477
1876.6739522790251,1891.6478458929485,14.973893613923337,5673458,5699611,1544,1734,1529,1742,1626.4028359029028
1680.4711394508015,1871.699570554187,191.22843110338545,2359566,2909170,1175,721,1251,889,1822.6056487311264
1823.7188345656764,1847.9144719710594,24.195637405382968,3318281,3400063,1487,1014,1494,1039,1679.3579536162515
1123.6577575338692,1834.1986682345423,710.5409107006731,370727,2830697,1104,113,1282,865,2379.4190306480587
1753.2661286052958,1811.2993031103965,58.03317450510076,3030214,2889612,1268,926,1319,883,1749.8106595766321
1731.161782774116,1806.5000311310646,75.3382483569485,6693963,6500926,1497,2046,1449,1987,1771.9150054078118
1757.4899074127864,1806.4482726625026,48.95836524971628,2614845,2778385,1316,799,1306,849,1745.5868807691415
1742.6993096090075,1791.6595672437604,48.96025763475291,3511366,3367414,1583,1073,1555,1029,1760.3774785729204
1751.2126694125704,1788.0176609862845,36.804991573714005,3756718,3606250,1610,1148,1608,1102,1751.8641187693574
1717.8353931762595,1776.1423055356943,58.30691235943482,5745571,5817477,1695,1756,1639,1778,1785.2413950056684
1605.9961643468355,1759.4209858454215,153.42482149858597,2700131,3233315,1556,825,1567,988,1897.0806238350924
1721.6829119694257,1735.6112692152365,13.92835724581073,3400186,3432908,1617,1039,1629,1049,1781.3938762125022
1392.9209172615333,1735.1018762719993,342.18095901046604,4459961,4025009,1588,1363,1679,1230,2110.1558709203946
1702.9407793885814,1728.9925315053363,26.05175211675487,3341307,3249710,1616,1021,1607,993,1800.1360087933465
1680.5033327095352,1727.0391159832698,46.53578327373452,6301490,6465033,1544,1926,1537,1976,1822.5734554723927
1710.5959347426538,1724.8759823382543,14.280047595600536,3534355,3495090,1675,1080,1662,1068,1792.4808534392741
1703.6450229662269,1722.7666513526974,19.121628386470547,3995539,3949764,1648,1221,1667,1207,1799.431765215701
1711.4946257855088,1721.8341342119757,10.339508426466864,4038119,4057738,1705,1234,1698,1240,1791.582162396419
1617.7325584017228,1707.462891070584,89.73033266886114,6821626,6553364,1591,2085,1551,2003,1885.344229780205
1684.0813009933836,1703.2686817782687,19.187380784885136,2951978,3010866,1536,902,1546,920,1818.9954871885443
1687.6745003185756,1702.7038708383873,15.029370519811664,2320302,2267956,1163,709,1153,693,1815.4022878633523
1674.8803138720762,1700.5909563104494,25.71064243837327,2919280,3004332,1548,892,1554,918,1828.1964743098517
1644.5458100884014,1675.0696645573182,30.523854468916852,3557289,3426444,1712,1087,1707,1047,1858.5309780935265
1642.6153460205535,1674.7375979403762,32.1222519198227,2081460,2166529,1104,636,1127,662,1860.4614421613744
1618.8356085366345,1670.1157376522558,51.28012911562132,7397058,7233501,1327,2261,1320,2211,1884.2411796452934
1630.5290017894947,1665.0210481237136,34.49204633421891,3239985,3357753,1695,990,1707,1026,1872.5477863924332
1018.1382999637567,1639.4004951488607,621.262195185104,7453481,6546893,2143,2278,1622,2001,2484.938488218171
1448.4607290715767,1632.1305964679884,183.66986739641175,4058011,4106889,1971,1240,1784,1255,2054.616059110351
1609.1149405038168,1619.80881706487,10.69387656105323,4103594,4110147,1760,1254,1771,1256,1893.961847678111
1592.7421480375733,1608.4854285634322,15.743280525858836,7393772,7433022,1312,2260,1310,2272,1910.3346401443546
