birth,death,lifetime,tipF,endF,tipX,tipY,endX,endY,root_geodesic
0.0,4367.667981468547,4367.667981468547,12755387,6122512,3307,3370,0,1618,4367.667981468547
4195.430049455824,4317.6679814685485,122.23793201272474,5309095,6342034,143,1403,50,1676,172.23793201272255
4061.92275442596,4077.301935487819,15.379181061858617,6614704,6607154,272,1748,290,1746,305.74522704258646
4016.3979181089194,4048.5501415556264,32.15222344670701,6614783,6607183,351,1748,319,1746,351.2700633596272
3381.6626388345767,3408.4830689023124,26.820430067735742,6562387,6528359,931,1734,959,1725,986.0053426339699
3382.786774288694,3404.8472742311824,22.060499942488605,6551084,6554844,980,1731,956,1732,984.8812071798528
3342.1438505059614,3360.42680184758,18.282951341618627,6547343,6532191,1023,1730,1007,1726,1025.5241309625853
3183.002493781327,3198.2376068536464,15.235113072319564,6505852,6486945,1156,1719,1169,1714,1184.6654876872199
2422.3143568937435,2439.984071963533,17.669715069789618,5409223,5435701,1887,1429,1877,1436,1945.3536245748032
2133.170107937998,2349.5960972234707,216.4259892854725,6828279,6010956,1943,1804,1964,1588,2234.4978735305485
2265.224358457275,2285.270293992537,20.045935535262288,5942911,6056429,2031,1570,2029,1600,2102.443623011272
2174.2124189344813,2235.3587293067376,61.146310372256266,5065109,5239133,2117,1338,2077,1384,2193.4555625340654
2210.3846059640177,2230.4264456770734,20.04183971305565,4773640,4887166,2016,1261,2022,1291,2157.283375504529
2180.4405575850196,2194.808928211787,14.3683706267675,5023447,4928839,2079,1327,2071,1302,2187.227423883527
348.9602121435187,2172.810407570637,1823.8501954271183,8059909,5678171,3773,2129,2171,1500,4018.707769325028
2148.258105623434,2168.316043793475,20.05793817004087,6272167,6185139,2079,1657,2083,1634,2219.4098758451128
1798.7943172449654,2159.3811639278483,360.5868466828829,4561263,4519997,1543,1205,1901,1194,2568.8736642235813
1777.498837993564,2151.670839651046,374.17200165748227,8012830,6389505,2102,2117,2113,1688,2590.169143474983
2063.2713473767894,2151.520866089097,88.24951871230769,5375555,5500343,2275,1420,2191,1453,2304.3966340917573
2085.038372275846,2134.762016807811,49.723644531964965,5190097,5201403,2233,1371,2187,1374,2282.6296091927006
2107.837554547349,2132.4089948705623,24.57144032321321,5920399,5882537,2223,1564,2201,1554,2259.8304269211976
2034.3816716818355,2124.7916891373193,90.41001745548374,6945799,6654384,2159,1835,2112,1758,2333.286309786711
2083.61282173747,2104.1969673645076,20.584145627037742,6665751,6688458,2127,1761,2130,1767,2284.055159731077
2088.143724778266,2099.5062793412985,11.362554563032518,4489897,4489912,2073,1186,2088,1186,2279.5242566902807
2075.990111360781,2092.309758529185,16.319647168403662,6226872,6166340,2192,1645,2204,1629,2291.6778701077656
1995.8547598431223,2077.033732311377,81.17897246825487,6007488,5689618,2280,1587,2266,1503,2371.8132216254244
2062.4994233020116,2076.0401585146064,13.540735212594882,6885216,6870072,2120,1819,2112,1815,2305.168558166535
1907.0995914363066,2061.056166254245,153.95657481793842,7498107,6964660,2003,1981,2100,1840,2460.56839003224
2041.5916823483226,2055.5629506030864,13.9712682547638,5212812,5148492,2244,1377,2252,1360,2326.076299120224
2037.1975698099827,2051.4918957840455,14.294325974062758,4243955,4225018,2091,1121,2074,1116,2330.470411658564
2012.078416786368,2025.1671659332314,13.088749146863393,7168994,7127360,2098,1894,2088,1883,2355.5895646821787
1978.5127412254742,2019.123819806713,40.61107858123887,5878883,5704812,2331,1553,2324,1507,2389.1552402430725
2006.6366716538805,2018.7859563377997,12.149284683919177,4149359,4096372,2095,1096,2084,1082,2361.031309814666
2004.9220800979783,2015.8102187685504,10.888138670572062,4247765,4259128,2117,1122,2128,1125,2362.7459013705684
1999.7557604202593,2011.160559804729,11.404799384469698,3982728,3963791,1960,1052,1943,1047,2367.9122210482874
1997.519547589025,2007.5888509579213,10.069303368896271,4406780,4304591,2204,1164,2183,1137,2370.1484338795217
756.595776207339,1986.886060269455,1230.290284062116,9792,4694440,2224,2,2280,1240,3611.0722052612077
1917.5594661841392,1970.4881883562398,52.928722172100606,5939482,5727564,2386,1569,2372,1513,2450.1085152844075
1867.1271528643056,1963.604337988299,96.47718512399342,7555067,7316600,2203,1996,2128,1933,2500.540828604241
1933.3868504247735,1961.3342747642496,27.94742433947613,5031197,4936610,2261,1329,2274,1304,2434.2811310437733
1931.70286896974,1957.9336001878337,26.23073121809375,5795641,5799455,2337,1531,2367,1532,2435.965112498807
1901.4677714442787,1957.859265432638,56.39149398835934,3880595,3755673,1995,1025,1945,992,2466.200210024268
1839.8197745053435,1945.6984296856099,105.87865518026638,4694574,4535529,2414,1240,2297,1198,2527.848206963203
1806.6127644784992,1943.5092705767552,136.89650609825594,4164664,3948845,2264,1100,2133,1043,2561.0552169900475
1927.5079707157379,1941.973399489762,14.465428774024076,4717171,4641499,2307,1246,2315,1226,2440.160010752809
1828.153527393225,1939.1485589140584,110.99503152083344,5250861,5368090,2453,1387,2378,1418,2539.5144540753217
1916.3341987443305,1933.2356308417184,16.901432097387897,3823976,3797470,2136,1010,2118,1003,2451.3337827242162
1850.0622432299297,1924.6935728548106,74.63132962488089,7048018,6847520,2210,1862,2264,1809,2517.605738238617
1911.660227646505,1923.338918449977,11.678690803471909,4482585,4535559,2329,1184,2327,1198,2456.0077538220416
1880.885218716584,1918.1632549229448,37.278036206360866,5337880,5455162,2440,1410,2418,1441,2486.7827627519628
1885.6945982588181,1900.592262785151,14.897664526332846,4391767,4353910,2327,1160,2310,1150,2481.9733832097286
1853.9100715508575,1900.1877958327996,46.27772428194203,5084311,5197809,2399,1343,2377,1373,2513.757909917689
1685.0625211960682,1898.1160787117965,213.05355751572824,7593056,6923218,2352,2006,2282,1829,2682.6054602724785
1867.840351364574,1897.8393294281946,29.998978063620598,3820199,3699104,2143,1009,2136,977,2499.8276301039728
