birth,death,lifetime,tipF,endF,tipX,tipY,endX,endY,root_geodesic
0.0,4390.292303052136,4390.292303052136,11523484,6559774,4080,2822,0,1607,4390.292303052136
3412.213148810434,3507.646884887705,95.43373607727062,6621784,6613716,780,1622,876,1620,978.079154241702
2991.5812306161906,3294.1306224517366,302.549391835546,5764727,5964805,943,1412,1003,1461,1398.7110724359454
3263.9422299836133,3277.2313502426996,13.289120259086303,6099569,6042420,1061,1494,1060,1480,1126.350073068523
3221.1819642803475,3275.3456687375688,54.16370445722123,6928121,7062879,967,1697,1019,1730,1169.1103387717883
3250.1702987309864,3263.2133954379124,13.043096706926008,6013889,6022042,1103,1473,1092,1475,1140.12200432115
3208.7415627530936,3245.9714127119314,37.229849958837804,6756888,6605820,1178,1655,1144,1618,1181.5507402990424
3222.7084613610878,3242.03601237809,19.327551017002406,5785162,5752536,968,1417,998,1409,1167.5838416910483
3219.081031280491,3233.3829387844767,14.301907503985603,7242477,7250663,1009,1774,1031,1776,1171.211271771645
3166.0699014083248,3185.801073459402,19.73117205107701,5813878,5801657,1110,1424,1135,1421,1224.2224016438115
3113.7585835264317,3183.494109993353,69.73552646692133,5564885,5523985,1119,1363,1039,1353,1276.5337195257043
3036.5058922723965,3161.9746130328463,125.46872076044974,5291132,5430053,860,1296,993,1330,1353.7864107797393
3124.500830230686,3149.6354641618036,25.134633931117605,5646526,5662887,1120,1383,1153,1387,1265.7914728214498
3115.2469408629904,3130.219631655135,14.972690792144476,6801793,6871213,1181,1666,1207,1683,1275.0453621891454
2999.5614026234325,3100.5189753251843,100.95757270175181,6111494,5740110,740,1497,818,1406,1390.7309004287035
3064.2702986546383,3085.322834229506,21.05253557486776,5723743,5825807,779,1402,793,1427,1326.0220043974975
3030.5990422251934,3073.37628494036,42.77724271516672,8038477,7895631,1019,1969,1043,1934,1359.6932608269426
3026.297037584328,3058.6488550299773,32.35181744564943,5585077,5703433,901,1368,879,1397,1363.995265467808
3034.9861262707964,3050.941432339303,15.955306068506616,7683476,7663098,1152,1882,1184,1877,1355.3061767813397
3033.73036059698,3049.500612695655,15.770252098674973,5527895,5605463,867,1354,877,1373,1356.5619424551562
2996.9330549053757,3046.364487240304,49.431432334928104,5344435,5136227,1097,1309,1071,1258,1393.3592481467604
3019.931537896715,3034.811426186394,14.879888289679002,4874956,4940276,1048,1194,1056,1210,1370.3607651554212
2962.845670072007,3026.7569112939773,63.91124122197016,7920234,8063036,1154,1940,1086,1975,1427.4466329801292
2993.4582565818446,3025.5986158548294,32.140359272984824,5193418,5034193,1114,1272,1087,1233,1396.8340464702917
2829.2049172667007,3022.779224527856,193.57430726115535,8458778,8103825,874,2072,1055,1985,1561.0873857854353
2995.959324739033,3014.18709384649,18.22776910745688,8144693,8128340,1103,1995,1078,1991,1394.3329783131028
2980.417788952068,2996.763890414649,16.34610146258092,4756454,4801407,924,1165,975,1176,1409.8745141000682
2942.8764473572364,2972.354370723282,29.477923366045616,5850789,5740585,1283,1433,1293,1406,1447.4158556948996
2951.623819380872,2971.3621031382854,19.738283757413228,5687477,5720157,1251,1393,1275,1401,1438.668483671264
2936.0284821297055,2967.730319995744,31.70183786603866,5773282,5814138,1334,1414,1370,1424,1454.2638209224303
2945.1201939278217,2955.440318412383,10.320124484561347,7683651,7777531,1327,1882,1321,1905,1445.1721091243146
1619.8862450403476,2942.1367134954353,1322.2504684550877,12158145,8401850,1949,2978,1094,2058,2770.4060580117884
2923.639693572859,2934.457252546391,10.817558973531959,5136452,5099720,1296,1258,1302,1249,1466.6526094792769
2808.2280410031826,2920.8516133989806,112.62357239579796,8234624,7957146,1230,2017,1328,1949,1582.0642620489534
2896.2434736933465,2913.7576963751435,17.514222681797037,6818373,6961260,1433,1670,1450,1705,1494.0488293587894
2847.692684240602,2870.2269421716123,22.534257931010416,5585659,5552971,1483,1368,1451,1360,1542.5996188115344
2537.4486188941737,2868.735766360969,331.28714746679543,4188817,4246299,685,1026,1019,1040,1852.8436841579621
2838.5346860881746,2862.209165726315,23.674479638140383,4520047,4630283,1273,1107,1295,1134,1551.7576169639615
2841.9825733374537,2854.1827044431657,12.20013110571199,4732389,4805865,1351,1159,1351,1177,1548.3097297146821
2842.5674910519365,2853.6333430059567,11.065851954020218,6051059,6083710,1535,1482,1530,1490,1547.7248120001996
2818.2026611588826,2839.589352607484,21.386691448601596,7108280,7230722,1518,1741,1500,1771,1572.0896418932537
2819.38382645364,2833.8007977710104,14.416971317370553,4928359,4903853,1385,1207,1371,1201,1570.9084765984962
2773.6245596579447,2832.5668368043607,58.94227714641602,4740591,4593588,1389,1161,1338,1125,1616.6677433941911
2575.783033840561,2829.4989510612477,253.7159172206866,3388888,4070801,828,830,1047,997,1814.509269211575
2789.284341157773,2811.480721264504,22.19638010673134,4148411,4038180,1099,1016,1082,989,1601.0079618943632
2768.117045471153,2806.418812385473,38.30176691432007,4609771,4373021,1193,1129,1199,1071,1622.175257580983
2743.729854520866,2804.5114456367764,60.78159111591049,7255265,6994007,1551,1777,1541,1713,1646.5624485312703
2772.8696681691204,2801.111274835539,28.241606666418647,4454622,4454646,1160,1091,1184,1091,1617.4226348830157
