birth,death,lifetime,tipF,endF,tipX,tipY,endX,endY,root_geodesic
0.0,5815.67435922441,5815.67435922441,6051505,8575182,5311,1138,0,1614,5815.67435922441
3988.617545552328,4163.677544078645,175.05999852631703,7328232,8268673,1605,1379,1645,1556,1827.056813672082
4014.073366616607,4129.486749556171,115.41338293956414,7508915,8135869,1646,1413,1666,1531,1801.600992607803
4015.313796634811,4046.9996266686776,31.68583003386675,8900927,9076275,1652,1675,1671,1708,1800.3605625895993
3988.452041491424,4035.5094599483295,47.05741845690545,7625883,7849041,1728,1435,1740,1477,1827.222317732986
4000.221653899681,4025.536763537795,25.315109638114336,9007318,8991354,1783,1695,1758,1692,1815.452705324729
3929.5185281644945,4006.9832894416822,77.46476127718779,9581106,9304766,1767,1803,1703,1751,1886.1558310599155
3938.2531521805954,3972.444995151791,34.191842971195456,9331426,9352640,1798,1756,1760,1760,1877.4212070438148
3949.513244445784,3961.9043448119282,12.391100366144201,8725764,8667332,1818,1642,1829,1631,1866.161114778626
3931.5698344535595,3943.272054473932,11.702220020372351,8752369,8699232,1858,1647,1851,1637,1884.104524770851
3882.5692940016943,3924.696324244418,42.12703024272378,7583517,7838546,1866,1427,1871,1475,1933.1050652227157
3842.56468921179,3917.8841186909713,75.31942947918105,7726911,7328431,1809,1454,1804,1379,1973.1096700126197
3903.7468707372745,3915.491498407712,11.74462767043724,7062662,7036082,1685,1329,1670,1324,1911.9274884871354
3882.303362349031,3898.672986775227,16.36962442619597,8762998,8832078,1861,1649,1872,1662,1933.3709968753792
3691.6019284885715,3896.006216201411,204.4042877128395,10734039,8842720,1779,2020,1888,1664,2124.0724307358387
3753.0135947756457,3891.125639652234,138.11204487658824,6610858,6913849,1486,1244,1636,1301,2062.6607644487644
3752.090217680648,3884.0813854487806,131.99116776813253,9687111,9841280,1512,1823,1604,1852,2063.584141543762
3856.0269971265534,3874.5235936682875,18.496596541734107,8428339,8322077,1921,1586,1919,1566,1959.6473620978568
3850.802656090139,3868.7423970061345,17.93974091599557,10032599,10016641,1655,1888,1636,1885,1964.8717031342715
3839.2977559081573,3856.1915342495986,16.893778341441248,8438990,8587751,1946,1588,1943,1616,1976.3766033162526
3838.974815333111,3855.496504812105,16.52168947899372,8694011,8779017,1943,1636,1941,1652,1976.6995438912988
3818.3599066290208,3837.7943886995618,19.43448207054098,10075132,10122969,1684,1896,1704,1905,1997.3144525953892
3824.1260094536055,3837.3840872685414,13.25807781493586,10207982,10138915,1709,1921,1711,1908,1991.5483497708046
3813.406026256415,3824.8502469224104,11.444220665995545,7716432,7642053,1956,1452,1959,1438,2002.2683329679953
3736.6966760776972,3815.7477455034036,79.05106942570637,7636833,7886480,2052,1437,1988,1484,2078.977683146713
3734.5341979004756,3814.3631365147294,79.82893861425373,9538641,9931776,1806,1795,1779,1869,2081.1401613239345
3755.1416447773713,3814.0083959465246,58.866751169153304,8465608,8130883,1999,1593,1993,1530,2060.532714447039
3779.1328035346614,3795.8569643601804,16.724160825518993,6701453,6669590,1760,1261,1775,1255,2036.5415556897487
3505.337353936756,3791.2386324321856,285.9012784954298,5537528,6377229,1382,1042,1629,1200,2310.3370052876544
3709.6652085726796,3786.4148447093,76.74963613662021,6419887,6600548,1783,1208,1802,1242,2106.0091506517306
3748.596688191783,3786.037601247137,37.44091305535403,7307372,7434868,1997,1375,1981,1399,2067.077671032627
3760.887706387436,3785.0671111755482,24.17940478811215,6573928,6531388,1747,1237,1711,1229,2054.786652836974
3704.668303612037,3783.552332648317,78.88402903628003,8593125,8922510,2004,1617,1983,1679,2111.006055612373
3766.351265932314,3779.632495956802,13.28123002448774,8853410,8869364,1952,1666,1967,1669,2049.323093292096
3754.1044944181804,3768.341510883631,14.237016465450779,8731234,8821560,1975,1643,1980,1660,2061.56986480623
3312.1381525685874,3762.0616310751307,449.92347850654323,3842908,6207233,1609,723,1649,1168,2503.5362066558228
3718.2554409542468,3741.719249379316,23.463808425069146,8816301,8800337,2034,1659,2009,1656,2097.4189182701634
3706.904032793068,3735.3148694871106,28.4108366940427,6621889,6473109,1891,1246,1875,1218,2108.7703264313423
3637.9527433079943,3734.7127412924174,96.75999798442308,8747297,8247844,2099,1646,2068,1552,2177.721615916416
3710.864023155094,3730.4101957618864,19.546172606792425,10792275,10701965,1572,2031,1583,2014,2104.8103360693162
3686.341572641317,3727.4475018767143,41.105929235397525,7036397,7190505,1985,1324,2016,1353,2129.3327865830934
3568.628887240456,3724.966504767938,156.33761752748205,5383842,6308380,1773,1013,1849,1187,2247.045471983954
3699.3998945428348,3723.6068658103327,24.20697126749792,6297803,6350907,1898,1185,1872,1195,2116.2744646815754
3691.3944342838504,3714.9811781066696,23.586743822819244,9522879,9528223,1983,1792,2014,1793,2124.27992494056
3679.9657086124485,3714.8276006499354,34.861892037486996,5808773,5978809,1664,1093,1684,1125,2135.7086506119617
3699.6931849131774,3714.0945662140466,14.401381300869161,7939718,8077855,2096,1494,2095,1520,2115.9811743112327
3702.208231960239,3713.8915425527034,11.683310592464295,7084245,7137384,2016,1333,2025,1343,2113.466127264171
3675.4497933825414,3711.7502675078654,36.300474125323944,6191413,6111684,1768,1165,1734,1150,2140.2245658418688
3659.477261640647,3696.051098471018,36.573836830370965,7211822,7110841,2081,1357,2047,1338,2156.197097583763
3572.107374347377,3694.6608495629694,122.55347521559224,8917357,8306325,2143,1678,2106,1563,2243.566984877033
3641.579400050814,3694.1767783399796,52.59737828916559,11142921,10909184,1560,2097,1595,2053,2174.094959173596
3674.9266901735336,3685.225817977252,10.29912780371842,7525285,7573115,2077,1416,2090,1425,2140.7476690508765
3584.939632788599,3682.210250869182,97.27061808058306,7913240,7605003,2183,1489,2100,1431,2230.7347264358114
3637.717828812506,3673.451997060266,35.73416824775995,6042652,5925738,1771,1137,1743,1115,2177.956530411904
3661.3048378815656,3672.4794370000322,11.174599118466631,5851342,5893853,1729,1101,1736,1109,2154.3695213428446
3618.5146048232436,3660.76613285103,42.25152802778621,5553765,5723810,1680,1045,1709,1077,2197.1597544011665
3228.5680916446,3660.07147497535,431.50338333075024,3598616,6005572,1715,677,1882,1130,2587.1062675798103
3589.8383524642186,3636.796812589865,46.958460125646525,10994296,11153642,1699,2069,1655,2099,2225.8360067601916
3569.1484973884903,3628.8788347561353,59.73033736764501,6260634,6255390,1920,1178,1989,1177,2246.52586183592
3416.3441901692927,3603.463339860669,187.11914969137615,10819266,9969274,1998,2036,2086,1876,2399.3301690551175
3195.0242699293585,3601.568992772873,406.5447228435146,4576325,5761215,1832,861,1923,1084,2620.6500892950517
3529.238457464533,3586.9272740663173,57.68881660178431,11695533,11445852,1620,2201,1650,2154,2286.435901759877
3568.090569432342,3585.9356697376684,17.84510030532647,5612352,5660184,1824,1056,1839,1065,2247.5837897920683
3551.6702979216625,3585.550234335821,33.87993641415869,8141751,8322377,2235,1532,2219,1566,2264.0040613027477
3561.486585204814,3578.9675314167653,17.48094621195105,10271984,10325101,1955,1933,1942,1943,2254.187774019596
3035.059647910515,3575.0564234175426,539.9967755070275,12944565,10070246,2097,2436,2111,1895,2780.614711313895
3546.67596910887,3574.754045192849,28.078076083978885,9491162,9315853,2144,1786,2164,1753,2268.99839011554
3385.6238636346557,3559.329184559996,173.7053209253404,12370240,11573382,1576,2328,1668,2178,2430.0504955897545
3500.4676915162754,3557.8441957408636,57.37650422458819,6887807,7190686,2159,1296,2197,1353,2315.206667708135
3522.6102923910107,3544.167449267841,21.557156876830504,11743392,11642460,1662,2210,1677,2191,2293.0640668333995
