birth,death,lifetime,tipF,endF,tipX,tipY,endX,endY,root_geodesic
0.0,5385.602729474569,5385.602729474569,7972078,6507270,4663,1697,0,1386,5385.602729474569
4298.625566099158,4397.707706560378,99.08214046121975,7188886,6756974,841,1531,869,1439,1086.9771633754108
4259.0246395280365,4277.65840815163,18.633768623593824,7029386,6813446,971,1497,1001,1451,1126.5780899465326
4262.1733888625895,4276.091682792769,13.918293930179061,7301678,7254724,953,1555,949,1545,1123.42934061198
4245.827851824498,4269.645481374835,23.817629550337188,6653845,6203202,1030,1417,1107,1321,1139.7748776500712
4248.607834521657,4265.419054962721,16.811220441063597,6395669,6489546,1079,1362,1056,1382,1136.994894952912
4120.038474186405,4190.0470205520705,70.0085463656651,4709992,4339091,907,1003,911,924,1265.5642552881638
4073.164930443122,4180.590960853519,107.42603041039729,7221759,7766418,849,1538,888,1654,1312.437799031447
4160.7191434123315,4171.3611119407715,10.641968528439975,7832132,7728839,872,1668,869,1646,1224.8835860622373
4108.709717884404,4127.3125683391345,18.602850454730287,8029304,8019946,854,1710,886,1708,1276.8930115901649
4072.2131795494925,4089.2245257662453,17.011346216752827,3799167,3841437,912,809,927,818,1313.3895499250766
4055.8257647460405,4074.3327183693837,18.50695362334318,5419341,5503836,1311,1154,1296,1172,1329.7769647285286
3934.1624169488377,4025.545551832559,91.38313488372114,8930780,8498861,890,1902,911,1810,1451.4403125257313
3949.824351740376,4020.302189200655,70.4778374602788,3301396,3423542,811,703,887,729,1435.7783777341929
3998.042428336734,4009.678304762315,11.635876425581046,4475605,4475591,1270,953,1256,953,1387.5603011378353
3987.1859055578702,4009.2762287693004,22.090323211430132,4170270,4113975,1110,888,1155,876,1398.4168239166988
3598.339927124393,3973.7140883377797,375.37416121338674,2250184,3991934,1279,479,1184,850,1787.2628023501761
3939.653127055481,3970.4461299011627,30.793002845681713,3851023,3775848,1123,820,1068,804,1445.949602419088
3939.715372368103,3969.4458507733934,29.73047840529034,8902631,8766467,911,1896,902,1867,1445.887357106466
3774.466393450001,3958.6500001141185,184.18360666411763,3113986,3982571,1201,663,1211,848,1611.1363360245682
3934.0914813827467,3948.8102365445984,14.718755161851732,6119005,6137772,1420,1303,1407,1307,1451.5112480918224
3923.0524780827113,3939.0524780822197,15.999999999508418,3644391,3569271,1071,776,1071,760,1462.5502513918577
3920.074899522255,3936.7868186165215,16.711919094266705,5391216,5386540,1356,1148,1375,1147,1465.527829952314
3899.7138805095724,3934.19333024081,34.479449731237764,5461629,5410032,1344,1163,1392,1152,1485.8888489649967
3825.999967125619,3930.9836389505645,104.9836718249453,6001734,6217599,1524,1278,1419,1324,1559.60276234895
3898.8561854285135,3913.421955208558,14.56576978004432,3902833,3949773,1288,831,1278,841,1486.7465440460553
3890.126427340979,3912.870250995209,22.743823654230255,4813811,4996914,1436,1025,1434,1064,1495.4763021335903
3884.5019800000564,3895.257126450698,10.755146450641405,5217616,5184740,1471,1111,1460,1104,1501.1007494745124
3844.576855807827,3891.041914054175,46.46505824634778,2747574,2972949,999,585,1014,633,1541.025873666742
3832.0552940009525,3884.503012147182,52.44771814622936,4161177,4132951,1407,886,1351,880,1553.5474354736166
3833.351369268958,3871.8461510953716,38.4947818264136,3123297,3099782,1122,665,1082,660,1552.251360205611
3834.761156811309,3846.662437881545,11.90128107023611,6579174,6597939,1479,1401,1464,1405,1550.8415726632602
3760.4487347494833,3840.9876386867095,80.53890393722622,7325396,7151610,1196,1560,1125,1523,1625.153994725086
3828.2586358317785,3838.491828952636,10.233193120857322,4879595,4917160,1490,1039,1495,1047,1557.3440936427905
3794.8525705079646,3825.1206087519786,30.26803824401395,4710574,4874923,1489,1003,1513,1038,1590.7501589666047
3798.5275762318433,3812.4289465021575,13.901370270314146,2695922,2611411,992,574,991,556,1587.0751532427257
3632.9313572859273,3801.0797976698036,168.14844038387628,1695901,2672543,1006,361,1088,569,1752.6713721886417
3784.2661209813195,3798.8743804871765,14.60825950585695,3949911,4010951,1416,841,1421,854,1601.3366084932493
3775.0895857780856,3788.682593253504,13.59300747541829,4100222,4095513,1487,873,1473,872,1610.5131436964834
3714.8456761466173,3780.7359221474844,65.89024600086714,2996638,3236141,1228,638,1286,689,1670.7570533279518
3457.653406892681,3779.7497111317302,322.09630423904946,11081151,9611660,951,2360,995,2047,1927.9493225818883
3646.2256071480992,3759.9696172560716,113.74401010797237,3518042,3367683,1487,749,1368,717,1739.3771223264698
3706.644679068385,3752.1650616408924,45.520382572507515,7170608,7109524,1343,1527,1294,1514,1678.958050406184
3641.041703527291,3733.4014271902624,92.35972366297165,7400748,7095523,1428,1576,1378,1511,1744.5610259472783
3657.135725640858,3723.6555672701274,66.51984162926965,2747835,3006118,1260,585,1318,640,1728.4670038337113
3706.4459911103613,3716.830106849634,10.384115739272602,2945087,2968555,1322,627,1315,632,1679.156738364208
3669.995046926887,3704.5157334543123,34.52068652742537,7785370,7776016,1060,1658,1096,1656,1715.607682547682
3628.658710833545,3689.867348957082,61.208638123537185,3330213,3118890,1458,709,1410,664,1756.9440186410243
3675.716362127533,3689.064418444448,13.348056316915063,9959068,10010709,973,2121,969,2132,1709.8863673470357
3608.586057231388,3685.732756827927,77.14669959653884,8945251,8931084,1276,1905,1194,1902,1777.016672243181
3669.107418512146,3681.137150332467,12.029731820321103,7105081,7217766,1546,1513,1551,1537,1716.495310962423
3657.391545916039,3679.5544433150494,22.16289739901049,7250653,7255326,1573,1544,1551,1545,1728.2111835585301
2276.421947705827,3666.0156582030636,1389.5937104972368,12659224,9212810,1504,2696,1220,1962,3109.1807817687422
704.6450418707973,3663.62791708002,2958.9828752092226,2309712,4152002,4467,491,1622,884,4680.957687603772
3599.527379172382,3660.089895913464,60.56251674108171,7104712,7353586,1177,1513,1216,1566,1786.0753503021867
3647.5984179938414,3659.1644471306636,11.56602913682218,9940429,9935756,1114,2117,1136,2116,1738.004311480728
3645.500804103345,3658.3520198576803,12.851215754335044,7353575,7461581,1205,1566,1226,1589,1740.101925371224
3642.0146561612864,3656.301194342198,14.28653818091152,3668378,3691841,1583,781,1571,786,1743.5880733132828
3635.048367510274,3647.048367512297,12.000000002022716,4987690,4921962,1600,1062,1602,1048,1750.5543619642947
3584.8969599612565,3628.7879120808466,43.89095211959011,10109482,10189248,1147,2153,1098,2170,1800.7057695133126
3610.6354497845655,3624.686353920315,14.050904135749533,8226749,8161022,1109,1752,1112,1738,1774.9672796900036
3604.2804126421097,3616.6783774427013,12.39796480059158,10240704,10315836,909,2181,921,2197,1781.3223168324594
3595.6611418542493,3613.0601760051104,17.399034150861098,8142288,8193911,1158,1734,1136,1745,1789.9415876203198
3586.5937411021787,3611.6779078979384,25.084166795759756,7466652,7522972,1602,1590,1582,1602,1799.0089883723906
3498.194250391526,3600.571247088431,102.37699669690483,8959078,8527234,1018,1908,1114,1816,1887.4084790830432
3562.757900740895,3592.705524225384,29.947623484489213,5405553,5260016,1608,1151,1616,1120,1822.8448287336744
3490.0837943440756,3585.8748389612374,95.79104461716179,8085809,8339430,1019,1722,1110,1776,1895.5189351304934
3342.453395807914,3583.400404111274,240.94700830335978,2297561,3870365,1706,489,1685,824,2043.149333666655
3520.4892315100883,3582.9420537236742,62.45282221358593,8104761,8377046,1191,1726,1166,1784,1865.1134979644808
3564.574646969596,3580.8894049068567,16.314757937260765,4499417,4518257,1607,958,1667,962,1821.028082504973
3348.7464918007845,3576.7660467650066,228.01955496422215,11499045,10494397,990,2449,1072,2235,2036.8562376737848
3560.436713844495,3576.1680060678664,15.731292223371383,10010924,10029719,1184,2132,1199,2136,1825.166015630074
3405.669604173712,3572.8558092666817,167.18620509296989,8677712,8409934,1352,1848,1189,1791,1979.9331253008572
3333.4212556145644,3569.033839598086,235.61258398352174,8677802,7832804,1442,1848,1544,1668,2052.1814738600046
3555.117637382076,3568.62540856781,13.507771185734327,7837491,7851589,1536,1669,1549,1672,1830.4850920924932
3549.180303134539,3567.927653356899,18.747350222360183,2818484,2719896,1484,600,1491,579,1836.4224263400304
3523.4908941182166,3563.8097783234934,40.318884205276845,2147007,2348896,1392,457,1396,500,1862.1118353563522
3539.5857884190755,3558.3739871901143,18.78819877103888,10470803,10602250,953,2230,940,2258,1846.0169410554934
2864.7129703677374,3558.150924519367,693.4379541516296,11988150,10358351,1815,2553,1181,2206,2520.8897591068317
3517.453759114101,3549.637525609032,32.18376649493075,9921703,9921747,1168,2113,1212,2113,1868.148970360468
3366.352420631851,3545.785231687869,179.43281105601773,10208386,9842022,1456,2174,1302,2096,2019.250308842718
3493.5347353826396,3526.313414833651,32.77867945101161,3386769,3194251,1674,721,1651,680,1892.0679940919294
3478.899653250945,3511.8023413034834,32.90268805253845,2189150,2071827,1280,466,1332,441,1906.703076223624
3446.4609437917816,3498.9297510206675,52.46880722888591,1752594,1996734,1359,373,1359,425,1939.1417856827875
3439.1835475467715,3491.8774706713743,52.69392312460286,10682369,10663538,1244,2275,1193,2271,1946.4191819277976
3467.0880504179213,3483.399148952446,16.311098534524717,2748143,2748164,1568,585,1589,585,1918.5146790566478
3467.209405933184,3481.720287225302,14.510881292118029,2795093,2757547,1568,595,1582,587,1918.3933235413851
3466.1134042224653,3481.183040162069,15.069635939603813,6476099,6424471,1694,1379,1711,1368,1919.4893252521038
3464.0998998203686,3474.099907442347,10.000007621978511,2719984,2705912,1579,579,1592,576,1921.5028296542005
3457.4620630368004,3473.15395152779,15.69188849098964,10926363,10977993,1098,2327,1083,2338,1928.1406664377687
3457.553216694588,3470.5253291883882,12.972112493800068,2691850,2715320,1615,573,1610,578,1928.049512779981
3415.91303852688,3464.5751083729965,48.66206984611654,5246009,5494877,1694,1117,1727,1170,1969.689690947689
3443.3236834246436,3463.467162669712,20.143479245068193,2565046,2447666,1576,546,1571,521,1942.2790460499252
3439.9387653724143,3462.869192315082,22.93042694266751,10766855,10809083,1220,2293,1193,2302,1945.6639641021548
3396.9727541562397,3462.7636828799014,65.79092872366164,8057967,8076820,1347,1716,1420,1720,1988.6299753183291
3423.4272425738436,3448.1057049953924,24.67846242154883,3602873,3739037,1808,767,1817,796,1962.1754869007252
3071.172258475798,3443.108002122481,371.935743646683,4020815,5616967,1895,856,1747,1196,2314.430470998771
3402.015445480355,3442.0931276343294,40.077682153974365,5771932,6124077,1777,1229,1797,1304,1983.5872839942142
3426.240343101459,3439.5526693724087,13.312326270949598,10283365,10367894,1315,2190,1334,2208,1959.3623863731102
3411.749910382433,3424.583428565907,12.833518183474098,2593272,2597983,1632,552,1648,553,1973.852819092136
3277.1849217191807,3418.7008690901966,141.51594737101595,8682411,9264703,1356,1849,1468,1973,2108.4178077553884
3397.4454896003076,3414.894404632424,17.448915032116474,6724979,6654570,1739,1432,1755,1417,1988.1572398742614
3395.7550981650047,3412.814359136146,17.059260971141157,2025129,2123731,1584,431,1591,452,1989.8476313095643
3318.3246904421503,3408.604043641625,90.27935319947483,5903495,6297815,1880,1257,1820,1341,2067.2780390324187
3383.6894313617604,3406.7560608326066,23.066629470846237,8527790,8405735,1670,1816,1685,1790,2001.9132981128087
3163.3720085126893,3402.1987264886257,238.8267179759364,11170908,10443069,1503,2379,1389,2224,2222.23072096188
3378.6584004184892,3401.8299859250037,23.171585506514475,3565315,3678049,1810,759,1864,783,2006.9443290560798
3370.993406874292,3401.3367463186432,30.343339444351386,4058348,3832992,1868,864,1872,816,2014.6093226002772
3376.644146953525,3395.06585046034,18.421703506814993,8161646,8274317,1736,1738,1727,1762,2008.958582521044
3343.5168798216505,3354.432828382483,10.915948560832476,2269372,2335111,1687,483,1696,497,2042.0858496529186
3235.6594831042958,3333.7936476139635,98.1341645096677,10729332,10748226,1257,2285,1371,2289,2149.9432463702733
2825.674306696984,3317.936826205116,492.2625195081323,10481205,8607706,1965,2232,1771,1833,2559.928422777585
3276.3835854805466,3315.209123084149,38.82553760360224,9602815,9344618,1540,2045,1568,1990,2109.2191439940225
3278.2699217129675,3289.2898114948753,11.01988978190775,10682597,10729558,1472,2275,1483,2285,2107.3328077616015
3257.018416283632,3289.0943452359616,32.07592895232938,9025385,9203792,1595,1922,1592,1960,2128.584313190937
