birth,death,lifetime,tipF,endF,tipX,tipY,endX,endY,root_geodesic
0.0,6119.845441137721,6119.845441137721,9017861,8344890,4981,1808,0,1674,6119.845441137721
5098.2195587754595,5238.084618536163,139.86505976070384,9033634,9552117,814,1812,857,1916,1021.6258823622612
4895.9170060649485,5204.809696083592,308.8926900186434,11381486,10035666,731,2283,861,2013,1223.9284350727721
4735.424036023095,5086.400912002839,350.97687597974345,7917188,9572201,1008,1588,1001,1920,1384.4214051146257
5010.136514328515,5020.383439453989,10.246925125474263,10449591,10429643,1031,2096,1023,2092,1109.7089268092054
4969.107366763691,4995.267304493656,26.15993772996535,10584210,10429674,1055,2123,1054,2092,1150.7380743740298
4863.974287904176,4988.108829337098,124.13454143292165,8869443,9627138,1128,1779,1103,1931,1255.8711532335449
4910.254877365091,4975.490847850948,65.23597048585725,9313126,9432723,1146,1868,1103,1892,1209.5905637726303
4823.022303950455,4896.07575167869,73.05344772823446,8829549,8615144,1114,1771,1064,1728,1296.8231371872655
4812.859066373025,4850.034485598089,37.175419225064616,8236249,8375855,1029,1652,1055,1680,1306.9863747646962
4804.322618772759,4841.976514968074,37.65389619531561,9288223,9442790,1168,1863,1200,1894,1315.522822364962
4786.98599018184,4813.370453597426,26.384463415585742,9213493,9348103,1213,1848,1228,1875,1332.8594509558802
4792.884207335398,4808.504156428984,15.619949093586001,8096712,8171482,1072,1624,1067,1639,1326.9612338023226
4766.903507115098,4779.365035559783,12.461528444684518,8026914,8036870,1064,1610,1050,1612,1352.941934022622
4728.367695074033,4757.699567104066,29.331872030033082,11033084,10709068,1279,2213,1288,2148,1391.4777460636878
4736.398071792695,4751.113533693007,14.71546190031222,10798815,10788830,1305,2166,1290,2164,1383.4473693450252
4598.342991886734,4749.448332029179,151.10534014244513,9014080,9103874,1200,1808,1264,1826,1521.5024492509863
4605.520999791217,4694.17948200855,88.65848221733268,11037968,11362060,1178,2214,1245,2279,1514.324441346504
4646.299490080683,4662.756726541991,16.45723646130773,8580396,8670123,1211,1721,1208,1739,1473.5459510570372
4532.013999288325,4636.1227871384635,104.10878785013847,10908504,11436924,1324,2188,1334,2294,1587.8314418493953
4606.162559965992,4632.750498815771,26.587938849778766,9084069,8949469,1399,1822,1394,1795,1513.6828811717287
4608.596205262623,4624.951048088161,16.35484282553807,10270550,10370247,1450,2060,1447,2080,1511.249235875098
4598.5090770452425,4609.5807426902375,11.071665644994937,8964456,8894656,1426,1798,1416,1784,1521.3363640924779
4567.764866356979,4580.166682611755,12.40181625477635,10310453,10350342,1473,2068,1482,2076,1552.080574780742
4565.841889925304,4576.82467874713,10.982788821826034,9303466,9348347,1456,1866,1472,1875,1554.0035512124166
4365.945608514929,4508.670636736599,142.72502822167007,10774212,10325502,1627,2161,1567,2071,1753.8998326227916
4437.972191134743,4500.751561909061,62.77937077431761,10933578,10928659,1473,2193,1539,2192,1681.873250002977
4471.764992498526,4495.544707401798,23.77971490327218,11786007,11850791,1467,2364,1446,2377,1648.0804486391944
4462.722951145173,4476.10762625799,13.384675112816694,8615600,8540827,1520,1728,1522,1713,1657.1224899925471
4357.9897635194775,4434.344581582248,76.35481806277039,7718242,8017375,1462,1548,1495,1608,1761.855677618243
4405.719881012676,4417.3089139464155,11.589032933739873,9124181,9084292,1631,1830,1622,1822,1714.1255601250452
4395.589908537782,4416.144670387202,20.554761849419265,10475159,10529969,1674,2101,1649,2112,1724.255532599938
2067.451273601876,4415.318905766124,2347.867632164248,16140094,11158042,3649,3237,1612,2238,4052.3941675358446
4379.506297947472,4405.429602517135,25.923304569662832,8416261,8595750,1581,1688,1610,1724,1740.339143190248
4349.97864747805,4402.411316342379,52.43266886432866,9408365,9677561,1670,1887,1676,1941,1769.8667936596707
4259.633392235201,4398.962547402473,139.3291551672719,9612868,9742375,1788,1928,1685,1954,1860.2120489025192
4324.271355376507,4367.799405267665,43.528049891157934,10051428,9886966,1668,2016,1711,1983,1795.5740857612136
4283.9127856140185,4362.96273596074,79.04995034672174,8107233,8506060,1623,1626,1650,1706,1835.9326555237021
4293.043953997653,4362.191411908941,69.14745791128735,7454128,7808069,1553,1495,1559,1566,1826.8014871400674
4132.382206898889,4350.249775971687,217.86756907279778,11053191,11970548,1446,2217,1563,2401,1987.4632342388313
4318.252216897223,4340.242209618069,21.989992720846203,10026581,9916903,1746,2011,1738,1989,1801.5932242404983
4287.095139560679,4323.667159034965,36.57201947428621,8236882,8451265,1662,1652,1690,1695,1832.7503015770417
4309.667891966952,4319.778480425633,10.110588458680468,10599862,10535054,1752,2126,1749,2113,1810.177549170768
4290.4946329672985,4307.612537137581,17.1179041702826,9677633,9577940,1748,1941,1755,1921,1829.3508081704217
3753.685188770935,4307.128563960422,553.4433751894871,14692234,12214830,1439,2947,1580,2450,2366.1602523667857
4294.71230224886,4305.6259289698355,10.913626720975117,9233982,9318724,1762,1852,1759,1869,1825.13313888886
4143.618558673978,4294.127084110422,150.50852543644396,6591546,7105107,1376,1322,1482,1425,1976.226882463742
4228.388201422564,4288.481630160923,60.09342873835885,9976811,9931911,1826,2001,1791,1992,1891.4572397151564
4145.160773443227,4283.208922292868,138.0481488496407,7384429,7189885,1644,1481,1515,1442,1974.6846676944936
4092.4455245487807,4279.526821145613,187.08129659683254,11886124,11616762,1884,2384,1712,2330,2027.39991658894
3999.8968530208294,4269.235858171833,269.3390051510032,11437589,10555047,1999,2294,1802,2117,2119.948588116891
4197.909959998426,4267.600223306002,69.69026330757606,10834128,10689622,1723,2173,1782,2144,1921.9354811392955
4240.662612204953,4265.901446631825,25.238834426872018,8077377,7962737,1677,1620,1692,1597,1879.1828289327677
4234.25542239926,4265.8918642135395,31.63644181427935,8222009,8391503,1744,1649,1748,1683,1885.5900187384605
