birth,death,lifetime,tipF,endF,tipX,tipY,endX,endY,root_geodesic
0.0,5515.475118951717,5515.475118951717,13773,7711358,4471,2,0,1658,5515.475118951717
4047.3150492448344,4889.028887748229,841.7138385033945,6935218,6093341,577,1491,531,1310,1468.160069706883
4750.239644274845,4770.074546674048,19.8349023992032,6832875,6851468,556,1469,545,1473,765.2354746768721
4675.649623054491,4691.8511014577425,16.201478403251713,7102655,7177066,578,1527,573,1543,839.8254958972261
4496.335964249965,4521.575764413736,25.23980016377027,7205009,7223654,610,1549,651,1553,1019.1391547017517
4146.1521654817725,4162.795509338505,16.643343856732827,7088844,7023723,720,1524,713,1510,1369.3229534699449
3843.5041633536975,3856.260409334563,12.756245980865515,2387113,2447578,1150,513,1152,526,1671.9709555980198
3757.0040591450297,3807.743176265866,50.739117120836454,3596649,3903596,1426,773,1407,839,1758.4710598066874
3660.9951799149985,3775.4893207967157,114.49414088171716,3531631,4057108,1522,759,1436,872,1854.479939036719
3736.7739889939267,3749.12508195181,12.351092957883338,3936219,3885049,1473,846,1464,835,1778.7011299577905
3729.09477777335,3747.4764587211057,18.38168094775574,4257119,4401291,1454,915,1445,946,1786.3803411783674
3482.110888184319,3723.1053912179473,240.99450303362846,6252238,5163964,1294,1344,1354,1110,2033.3642307673986
3710.9297737361744,3722.070960497933,11.14118676175849,4698955,4750112,1445,1010,1441,1021,1804.545345215543
3685.778170779811,3710.7041479696986,24.925977189887817,3531555,3629252,1446,759,1472,780,1829.6969481719066
3496.7888715785075,3680.670182672704,183.88131109419646,5940548,5354632,1221,1277,1331,1151,2018.6862473732099
3533.887074440936,3655.592455749078,121.70538130814202,4299054,4898996,1530,924,1493,1053,1981.5880445107812
3547.1004555577765,3572.509881875727,25.40942631795042,5136265,5252527,1561,1104,1548,1129,1968.3746633939406
3537.743869912396,3559.8747168116633,22.130846899267453,5703634,5624556,1508,1226,1497,1209,1977.7312490393213
3410.438034693654,3473.3836241797844,62.9455894861303,2006142,2117832,1561,431,1627,455,2105.0370842580633
3357.1135895025923,3457.2617193805404,100.14812987794812,1629498,2113206,1648,350,1652,454,2158.361529449125
