birth,death,lifetime,tipF,endF,tipX,tipY,endX,endY,root_geodesic
0.0,5418.826649823669,5418.826649823669,8668479,14096148,4641,1866,0,3036,5418.826649823669
4039.700938053904,4280.156075584529,240.4551375306255,12681041,13711855,1008,2731,1076,2953,1379.1257117697648
4044.736524654013,4255.648209367751,210.9116847137384,12653267,13619031,1092,2725,1112,2933,1374.0901251696562
4165.392418728831,4228.711427879554,63.319009150723105,13201168,13475072,1119,2843,1086,2902,1253.434231094838
4164.383041166707,4191.132665285389,26.749624118681822,13224400,13349764,1136,2848,1139,2875,1254.443608656962
4140.1319970731,4157.6406609309815,17.508663857881402,13122254,13201198,1136,2826,1149,2843,1278.6946527505688
4139.157709677589,4149.687696869815,10.529987192226145,14218119,14213487,1253,3062,1264,3061,1279.6689401460796
4018.1541152528807,4142.656378003062,124.50226275018122,14348265,14088138,1395,3090,1276,3034,1400.672534570788
4024.3227478033414,4129.019925839781,104.69717803643925,15573821,15077029,1199,3354,1208,3247,1394.5039020203276
4078.6569463265714,4113.698311281098,35.041364954526216,14338919,14287815,1335,3088,1304,3077,1340.1697034970973
4076.361608725416,4093.7610581007502,17.39944937533437,15425220,15388061,1174,3322,1159,3314,1342.465041098253
4070.2476726077934,4081.7714378903775,11.523765282584009,13517077,13447430,1304,2911,1302,2896,1348.5789772158755
4049.151399559923,4061.343846758128,12.192447198205173,14431787,14357503,1343,3108,1347,3092,1369.675250263746
4019.0058675418536,4049.9474467565774,30.941579214723788,14287907,14320377,1396,3077,1365,3084,1399.8207822818154
4011.53103514366,4044.513166911878,32.982131768218096,14088230,13925727,1368,3034,1370,2999,1407.2956146800088
1850.9715609468658,4001.8062363122854,2150.8346753654196,15801734,15207173,1605,3403,1348,3275,3567.855088876803
3903.7980957749455,3999.681226380192,95.8831306052466,14357561,13893271,1405,3092,1415,2992,1515.0285540487234
3949.513251435633,3980.7709583884025,31.257706952769695,12704383,12592925,1135,2736,1109,2712,1469.3133983880364
3905.161361756649,3978.6989815514735,73.53761979482442,14640780,15007578,1401,3153,1402,3232,1513.6652880670197
3912.13341975989,3972.775788966588,60.64236920669828,12490717,12504705,1047,2690,1106,2693,1506.6932300637789
3875.11111725489,3958.433934625861,83.32281737097128,14195095,13791165,1444,3057,1455,2970,1543.715532568779
3926.86672476229,3950.044672181045,23.17794741875514,12523437,12593106,1266,2697,1290,2712,1491.9599250613794
3774.901918059458,3949.7603349078117,174.85841684835395,16720508,16061313,1065,3601,1176,3459,1643.9247317642114
