birth,death,lifetime,tipF,endF,tipX,tipY,endX,endY,root_geodesic
0.0,4992.885713068854,4992.885713068854,8824430,6353780,4722,1867,0,1345,4992.885713068854
4052.734364325524,4095.257655705987,42.52329138046298,7016051,6869578,911,1485,882,1454,940.1513487433299
3987.492985384411,4019.120462848602,31.627477464191088,5943741,5811453,949,1258,933,1230,1005.392727684443
3961.4932092974223,3994.567496595603,33.074287298180934,7545037,7526175,809,1597,843,1593,1031.3925037714318
3952.6274652920756,3964.24445610986,11.616990817784426,5528011,5528026,931,1170,946,1170,1040.2582477767783
3896.9981428018095,3956.83612861622,59.83798581441033,5603640,5537492,976,1186,964,1172,1095.8875702670443
3899.920451288312,3950.7119744899983,50.79152320168623,6373692,6642978,1016,1349,1034,1406,1092.9652617805418
2198.5863127313737,3947.0778872960923,1748.4915745647186,13913632,7280675,1452,2945,991,1541,2794.29940033748
3794.9943352888704,3939.3082414593646,144.3139061704942,5225756,6713855,1012,1106,1051,1421,1197.8913777799835
3833.4645093938943,3939.1550395825534,105.69053018865907,8069356,7790729,764,1708,853,1649,1159.4212036749598
3790.821632485028,3920.686142222198,129.86450973717,7828686,7823834,1018,1657,890,1656,1202.064080583826
3865.896365114486,3913.4066635844624,47.51029846997653,7535702,7762432,922,1595,900,1643,1126.9893479543678
3844.629269203955,3913.3547782026153,68.72550899866019,6175319,5830462,1051,1307,1046,1234,1148.256443864899
3901.073034960833,3911.8884685774074,10.81543361657441,7923043,7894687,895,1677,883,1671,1091.8126781080207
3823.7097464786575,3903.1733243337376,79.46357785508008,5556543,5726534,1119,1176,1046,1212,1169.1759665901964
3648.074007299587,3868.6073842044525,220.5333769048657,4493330,5117075,806,951,983,1083,1344.811705769267
3834.4152573964966,3859.1947712061383,24.779513809641685,6586321,6487134,1065,1394,1082,1373,1158.4704556723575
3821.3259838522818,3852.193400779406,30.867416927124395,8173445,8168690,925,1730,894,1729,1171.5597292165721
3639.811477174404,3851.6144165722562,211.80293939785224,9122828,8196993,784,1931,853,1735,1353.0742358944497
3769.107494059112,3848.6488802544,79.54138619528794,5495086,5164359,1074,1163,1027,1093,1223.7782190097419
3828.35269057631,3843.215585117243,14.862894540932757,7417783,7493356,1103,1570,1092,1586,1164.533022492544
3800.894513057835,3836.967997772582,36.07348471474688,7261911,7011558,1123,1537,1142,1484,1191.991200011019
3772.2374671473035,3832.774576397291,60.53710924998768,6416359,6699783,1167,1358,1151,1418,1220.6482459215501
3802.6835545383055,3824.707142038188,22.023587499882524,8159132,8230012,784,1727,804,1742,1190.2021585305483
3784.94400797491,3815.0112831379492,30.067275163039085,5036765,4942251,981,1066,947,1046,1207.9417050939437
544.5498662095806,3806.313812054629,3261.7639458450485,4467867,5117158,3687,945,1066,1083,4448.335846859273
3756.62667229183,3801.380653180437,44.7539808886072,8395383,8423775,835,1777,883,1783,1236.2590407770242
3784.4890766815047,3800.8627627017313,16.373686020226614,4984870,4890376,1050,1055,1036,1035,1208.3966363873492
3528.092765183374,3798.056425984664,269.9636608012902,9005111,7748464,1167,1906,1104,1640,1464.7929478854799
3711.0841079570737,3789.6013009529356,78.51719299586193,8404979,8466310,983,1779,902,1792,1281.8016051117802
3743.5099262799376,3767.9168363825447,24.40691010260707,6397464,6251030,1168,1354,1178,1323,1249.3757867889165
3751.2208546932634,3764.997781099729,13.776926406465464,7313929,7323361,1177,1548,1161,1550,1241.6648583755905
3625.8187764885456,3757.3795129742666,131.560736485721,8494749,8017698,997,1798,1070,1697,1367.0669365803083
3741.518123856258,3755.320332475787,13.802208619528756,7937456,7866600,1136,1680,1140,1665,1251.3675892125957
3727.6336540347447,3754.0478935455094,26.414239510764673,8546666,8579705,950,1809,921,1816,1265.2520590341094
3694.7880643574526,3735.3843604992803,40.59629614182768,4625896,4573888,1100,979,1056,968,1298.0976487114012
3714.9011966527296,3731.817555192288,16.916358539558587,5485645,5471498,1081,1161,1106,1158,1277.9845164161243
3686.0841005363827,3723.1853102346054,37.10120969822265,7313943,7493439,1191,1548,1175,1586,1306.8016125324714
3630.3318181087507,3706.8392310790878,76.5074129703371,8740439,8858408,1039,1850,908,1875,1362.553894960103
3506.408664647219,3700.36336503728,193.95470039006068,4810210,5944008,1178,1018,1216,1258,1486.4770484216347
3653.9696435989226,3685.4317248415055,31.462081242582826,4219555,4309336,1023,893,1048,912,1338.9160694699315
