birth,death,lifetime,tipF,endF,tipX,tipY,endX,endY,root_geodesic
0.0,2940.1503085011555,2940.1503085011555,1850218,102790,2703,683,0,38,2940.1503085011555
2344.6788810257985,2361.3523114573713,16.673430431572797,828229,866090,499,306,490,320,595.4714274753568
2164.5132942623304,2180.36246536733,15.849171104999641,1558490,1515211,410,576,411,560,775.6370142388248
2012.7671111671575,2069.279277312703,56.51216614554551,1964261,1818188,431,726,428,672,927.3831973339979
1647.1317964606203,1985.85039724008,338.7186007794596,230704,1096196,779,85,671,405,1293.0185120405351
1026.987196264662,1936.5859827944455,909.5987865297834,1454252,1247781,1667,537,776,461,1913.1631122364934
1787.5736380170247,1936.5328014148004,148.95916339777568,704100,1107092,800,260,747,409,1152.5766704841308
1841.6691490543353,1867.3897249613537,25.72057590701843,1345267,1396638,882,497,858,516,1098.4811594468201
1822.2752411609906,1844.1383349905952,21.863093829604622,2353991,2251228,641,870,668,832,1117.8750673401648
1728.8695646348108,1750.047104994499,21.177540359688237,1431892,1483312,947,529,972,548,1211.2807438663447
1720.6892860274754,1733.2113007364417,12.522014708966253,1821411,1861983,946,673,943,688,1219.46102247368
1095.7928597588914,1715.5137185832982,619.7208588244068,3458266,2129762,1276,1278,927,787,1844.357448742264
1694.9776458636613,1705.0491316876348,10.07148582397349,2251473,2240646,913,832,906,828,1245.172662637494
1609.7020446111228,1666.4331336932585,56.73108908213567,1864689,1940475,944,689,990,717,1330.4482638900326
1562.581510232253,1653.109863445162,90.528353212909,2365223,2192037,1053,874,987,810,1377.5687982689024
1633.6128526450068,1649.4356705577,15.822817912693154,1908054,1972968,1029,705,1023,729,1306.5374558561487
1515.9239242071944,1623.2370998570727,107.3131756498783,2559969,2481407,1039,946,922,917,1424.226384293961
1473.1605918731743,1602.3997850698804,129.23919319670608,2316647,2197506,1167,856,1046,812,1466.9897166279811
1574.619312423541,1585.0928634920829,10.473551068541838,2530123,2543657,948,935,957,940,1365.5309960776144
1251.025367405894,1488.7397798705924,237.7144124646984,1310158,1342869,938,484,1189,496,1689.1249410952614
1327.5236559157147,1446.3652841286182,118.84162821290352,2262712,2140876,1332,836,1221,791,1612.6266525854408
1029.26029620973,1252.4835118666188,223.22321565688867,1259493,1343125,1668,465,1445,496,1910.8900122914254
83.77137080945022,102.64968647265187,18.878315663201647,1814969,1820361,2619,670,2601,672,2856.3789376917052
