birth,death,lifetime,tipF,endF,tipX,tipY,endX,endY,root_geodesic
0.0,5194.683645936103,5194.683645936103,11339862,8883490,4412,2330,0,1826,5194.683645936103
4086.1691291335883,4285.294463371198,199.12533423760942,6349583,7351850,758,1305,835,1511,1108.5145168025144
4203.0540520123905,4260.4502742347595,57.39622222236903,8276316,8013566,951,1701,911,1647,991.6295939237122
4236.741320356197,4250.367004565068,13.625684208870553,7152384,7132908,834,1470,818,1466,957.9423255799057
4029.3838365440806,4236.146407726256,206.76257118217563,6247543,7157278,883,1284,863,1471,1165.299809392022
4215.842689249555,4228.151635823762,12.308946574206857,7079449,7157291,874,1455,876,1471,978.8409566865472
4024.9330305474323,4077.6296415061515,52.69661095871925,8150010,8038067,1135,1675,1087,1652,1169.7506153886707
4022.254911215694,4041.900727178157,19.645815962463075,6919090,6821790,1060,1422,1060,1402,1172.428734720409
3921.2053482792826,3974.1655600256727,52.96021174639009,7838752,7770591,1237,1611,1186,1597,1273.4782976568204
3899.849294541241,3933.063611027701,33.21431648646012,7138148,6943545,1193,1467,1190,1427,1294.8343513948623
3899.2889716361096,3915.961131433193,16.672159797083168,8943069,8865236,1199,1838,1206,1822,1295.394674299993
13.975901828729548,3915.1113927201723,3901.1354908914427,7282903,7498212,4863,1496,1247,1541,5180.707744107373
3567.5969618678882,3876.0587049833857,308.4617431154975,8836267,7469061,1427,1816,1286,1535,1627.086684068215
3808.899609780383,3854.053998387468,45.15438860708491,6739265,6500871,1240,1385,1231,1336,1385.78403615572
3775.5985483638215,3842.2972182355675,66.698669871746,6632286,6924157,1291,1363,1262,1423,1419.0850975722813
3816.690373194052,3834.3866567557006,17.69628356164867,7517765,7430182,1340,1545,1327,1527,1377.9932727420507
3728.000941333497,3811.7050143019787,83.7040729684818,8393436,8904261,1311,1725,1311,1830,1466.682704602606
3784.0289632106305,3796.499924186057,12.470960975426351,8641526,8714509,1286,1776,1294,1791,1410.6546827254726
344.3552696158522,3780.8414695913116,3436.4861999754594,9675988,9132936,4368,1988,1331,1877,4850.328376320251
3737.4738007131564,3756.759706017573,19.2859053044167,6860994,6948573,1344,1410,1353,1428,1457.2098452229463
3701.26495471284,3740.523045312447,39.25809059960693,6544745,6218785,1320,1345,1315,1278,1493.418691223263
3715.731735009078,3736.004057447104,20.272322438026094,9312991,9312969,1381,1914,1359,1914,1478.951910927025
3708.409325844198,3724.4504110063735,16.041085162175477,6598231,6486346,1291,1356,1301,1333,1486.2743200919049
