birth,death,lifetime,tipF,endF,tipX,tipY,endX,endY,root_geodesic
0.0,4849.7997157917835,4849.7997157917835,4659324,6625990,4589,1013,0,1442,4849.7997157917835
3652.8854297689386,3716.924585728583,64.03915595964463,5924037,6181405,1082,1289,1130,1345,1196.9142860228446
3393.1831629893813,3665.966545425108,272.7833824357267,7794200,6544458,1080,1696,1178,1424,1456.6165528024023
3502.5846018907614,3551.0161639537023,48.431562062940884,5777169,5979383,1254,1257,1288,1301,1347.2151139010218
3353.2631236229054,3381.6449071713632,28.38178354845786,7008703,6962777,1328,1525,1352,1515,1496.536592168878
3348.85066012296,3362.272930514783,13.422270391823076,6999611,6999594,1426,1523,1409,1523,1500.9490556688233
3295.6747754276557,3310.4988613652527,14.82408593759692,7275221,7279833,1336,1583,1353,1584,1554.1249403641275
3225.818701637496,3281.0239241203403,55.20522248284442,7206257,7408483,1297,1568,1343,1612,1623.9810141542875
3267.2882140725796,3278.511112805444,11.22289873286445,6999613,7036391,1428,1523,1446,1531,1582.511501719204
3214.986156021533,3238.3155564838244,23.329400462291233,4715914,4821610,1444,1026,1455,1049,1634.8135597702505
3217.1985453185807,3238.2829628822483,21.084417563667557,5805100,5892395,1615,1263,1605,1282,1632.6011704732027
3164.918257948183,3236.0519955688023,71.13373762061929,4472300,4683637,1365,973,1332,1019,1684.8814578436006
3182.1073847944012,3232.8833907911303,50.776005996729054,7720888,7642824,1288,1680,1339,1663,1667.6923309973822
1232.4818648477763,3223.383535047051,1990.9016701992746,12744146,7413243,2211,2773,1508,1613,3617.317850944007
3198.275719342688,3211.1312842503685,12.855564907680673,6926229,6985970,1564,1507,1570,1520,1651.5239964490954
3175.974464272688,3201.6478952922284,25.673431019540658,7789829,7780667,1304,1695,1332,1693,1673.8252515190957
3185.151665940911,3200.0025979947286,14.850932053817814,6425436,6613836,1626,1398,1631,1439,1664.648049850873
3136.0138503891394,3197.8517128441476,61.837862455008235,7569539,7344345,1574,1647,1535,1598,1713.7858654026438
3179.774001486939,3195.4593445194478,15.685343032508626,7238668,7188145,1543,1575,1565,1564,1670.0257143048443
3090.947785418781,3184.9463228836867,93.99853746490544,7794356,7863378,1236,1696,1333,1711,1758.8519303730022
3136.045009853976,3151.669223574687,15.62421372071094,4311374,4338963,1264,938,1283,944,1713.7547059378076
3045.2564902031777,3125.9099531781094,80.6534629749317,4610460,5042374,1675,1003,1659,1097,1804.5432255886058
3108.16193542316,3120.722689407791,12.560753984631447,5042363,4959656,1648,1097,1651,1079,1741.6377803686237
3042.4804616592555,3108.844261665243,66.36380000598729,5267583,5690334,1713,1146,1724,1238,1807.319254132528
3041.748476757395,3108.328066865528,66.57959010813283,8047083,8203395,1238,1751,1320,1785,1808.0512390343881
3076.3735882320784,3094.196967077748,17.823378845669595,7013697,6930971,1727,1526,1711,1508,1773.426127559705
3023.7869187025585,3081.8115880568166,58.024669354258094,7477728,7229620,1663,1627,1685,1573,1826.012797089225
2828.620796286853,3060.9654232467356,232.3446269598826,8428975,8272496,1745,1834,1496,1800,2021.1789195049305
3029.3902265376246,3053.090184677274,23.699958139649425,7730423,7578792,1633,1682,1637,1649,1820.4094892541589
3029.8460920895923,3043.1222837532996,13.276191663707323,7744190,7679865,1615,1685,1620,1671,1819.953623702191
3010.2023407883325,3040.487081321794,30.284740533461445,6779403,6650730,1778,1475,1765,1447,1839.597375003451
2951.0470957402513,3035.103321386755,84.05622564650366,8598831,8263354,1586,1871,1544,1798,1898.7526200515324
2878.767784357741,3006.333241925231,127.56545756748983,6264932,6563474,1947,1363,1814,1428,1971.0319314340422
2893.6524073234505,3005.533300014663,111.88089269121247,8161888,8630706,1168,1776,1296,1878,1956.1473084683332
2798.4567979748676,2997.9451137802607,199.48831580539309,4527498,3645174,1423,985,1339,793,2051.342917816916
2976.340034087976,2988.4823486180903,12.142314530114163,8598729,8612493,1484,1871,1463,1874,1873.4596817038073
2965.938418902346,2983.431785415876,17.493366513530418,4192340,4233681,1700,912,1686,921,1883.8612968894377
2941.19840299306,2982.515222183366,41.31681919030598,3346458,3530281,1298,728,1321,768,1908.6013127987235
2970.311782850438,2981.0995982269296,10.787815376491835,4468083,4527818,1743,972,1743,985,1879.4879329413457
2940.0509561018407,2969.912857953865,29.861901852024403,7013722,7018351,1752,1526,1786,1527,1909.7487596899425
2855.3317147193475,2966.430431627381,111.09871690803357,8382462,8745554,1182,1824,1269,1903,1994.4680010724358
2915.3642792631,2966.14016884962,50.77588958651995,4656573,4923071,1838,1013,1826,1071,1934.4354365286833
2881.840158126727,2962.9526085783,81.11245045157284,9094728,8855855,1223,1979,1290,1927,1967.959557665056
2933.385920326531,2960.5991052974587,27.213184970927614,6172952,6021313,1867,1343,1863,1310,1916.4137954652522
2924.267135656761,2953.2883131418594,29.02117748509818,7307889,7422744,1839,1590,1819,1615,1925.5325801350223
2858.106156339658,2948.651719039371,90.54556269971317,8773410,8791691,1555,1909,1456,1913,1991.6935594521258
2921.8466606466377,2946.053829240568,24.20716859393042,6871323,6986217,1798,1495,1817,1520,1927.9530551451458
2929.3019589286714,2943.653301608259,14.35134267958756,6935684,6954049,1829,1509,1814,1513,1920.497756863112
2895.8569567722484,2942.5290382282483,46.67208145599989,5437746,5442327,1861,1183,1847,1184,1953.942759019535
2920.5441407394005,2941.003094081864,20.4589533424637,5217200,5162043,1875,1135,1858,1123,1929.255575052383
2817.5258360536845,2930.1843888727844,112.6585528190999,6540659,6811663,1974,1423,1873,1482,2032.273879738099
2900.659817438752,2928.298748752694,27.638931313942066,5672082,5534233,1852,1234,1853,1204,1949.1398983530316
2902.0941977607245,2923.955378037216,21.861180276491723,5708871,5782371,1881,1242,1861,1258,1947.705518031059
2865.281623079031,2923.573868537117,58.2922454580862,9085813,8911161,1498,1977,1456,1939,1984.5180927127526
2830.966732643672,2922.940445296846,91.97371265317406,5543483,5070165,1913,1206,1880,1103,2018.8329831481112
2843.691788941721,2905.1903587817815,61.498569840060554,4587714,4890969,1904,998,1889,1064,2006.1079268500625
2785.750956113464,2903.4376676959896,117.68671158252573,8406043,7643332,1788,1829,1847,1663,2064.0487596783196
2599.4402354509875,2900.169281636269,300.7290461852813,2059933,3217877,1373,448,1377,700,2250.359480340796
2882.296481241736,2897.500962794207,15.204481552471407,9150016,9163784,1371,1991,1354,1994,1967.5032345500476
2881.948422426268,2897.407256752509,15.45883432624123,9039575,9016617,1210,1967,1227,1962,1967.8512933655156
2810.5764634299753,2883.8681080103997,73.29164458042442,9296895,9218859,1210,2023,1289,2006,2039.2232523618081
2657.206271894507,2879.358629195479,222.15235730097174,6582151,7018471,2111,1432,1906,1527,2192.5934438972763
2836.5359438737105,2872.0180511793687,35.482107305658246,7399837,7216032,1887,1610,1882,1570,2013.2637719180727
1900.7155564975183,2860.9830275858535,960.2674710883352,11241,4109754,2051,2,1824,894,2949.084159294265
2832.4870300288962,2857.1871055841925,24.70007555529628,7523934,7620413,1919,1637,1903,1658,2017.3126857628872
2832.4860514029833,2852.76759157048,20.281540167496587,2969787,3066278,1417,646,1413,667,2017.3136643888001
2777.7178262893863,2852.3820548850235,74.66422859563727,4518848,4868048,1963,983,1943,1059,2072.081889502397
2836.3818913651585,2849.5081370015932,13.12624563643476,5685955,5612422,1940,1237,1927,1221,2013.417824426625
2735.920448915555,2849.158467307102,113.23801839154703,7055372,7124177,2047,1535,1927,1550,2113.8792668762285
2811.8848297695745,2840.1823958807163,28.297566111141805,3305247,3144416,1442,719,1436,684,2037.914886022209
2732.871107117284,2838.139987433589,105.26888031630506,9356612,9448625,1192,2036,1305,2056,2116.9286086744996
2694.0376545914037,2825.8133218137264,131.77566722232268,7170269,7248250,2069,1560,1935,1577,2155.76206120038
2747.210745955589,2824.082317104252,76.87157114866295,9660174,9398201,1484,2102,1426,2045,2102.5889698361943
2798.832197725425,2819.480879597326,20.648681871900862,8130385,8236055,1830,1769,1815,1792,2050.9675180663585
2769.137737263093,2803.0799411465377,33.94220388344456,9430431,9430395,1491,2052,1455,2052,2080.6619785286903
2699.9386872239515,2796.717511063793,96.7788238398416,8350992,7946685,1877,1817,1930,1729,2149.861028567832
2659.325327423339,2785.8955329805226,126.57020555718373,3222870,3686991,1775,701,1801,802,2190.4743883684446
2727.1876885259094,2778.3948639864334,51.20717546052401,8263758,8052364,1948,1798,1924,1752,2122.612027265874
2759.6528739270707,2771.284301094751,11.631427167680158,3677847,3673238,1847,800,1833,799,2090.1468418647128
2654.593786576922,2756.6533276897626,102.05954111284063,9503628,9807019,1168,2068,1289,2134,2195.2059292148615
2713.3765450247847,2751.314103724039,37.93755869925417,3461893,3562952,1858,753,1827,775,2136.4231707669987
2451.9286672874514,2750.600838085725,298.6721707982738,6857956,7762952,2216,1492,1997,1689,2397.871048504332
2727.7472100567543,2750.008291045345,22.261080988590493,2919351,2850407,1526,635,1507,620,2122.052505735029
2686.871163605131,2737.7884357535954,50.917272148464235,9853159,9820929,1479,2144,1414,2137,2162.9285521866523
2697.5743432117033,2732.171018149082,34.59667493737879,10045950,9949486,1280,2186,1311,2165,2152.22537258008
2719.8124989461376,2730.1094954849295,10.296996538791973,5226565,5295487,2050,1137,2047,1152,2129.987216845646
2252.877457053265,2728.2760102193947,475.39855316612966,4068966,4881961,2391,885,2071,1062,2596.9222587385184
2695.396952546721,2725.724736767843,30.327784221121874,9954212,9903633,1442,2166,1408,2155,2154.4027632450625
2554.196050573093,2714.7632181953963,160.56716762230326,4422597,4918736,2207,962,2086,1070,2295.6036652186904
2611.2936553851905,2710.084922860402,98.7912674752115,2188737,2639052,1517,476,1522,574,2238.506060406593
2651.8702316535455,2703.926720903585,52.056489250039704,2841303,2717189,1593,618,1544,591,2197.929484138238
2643.6776864911435,2700.6858818327237,57.008195341580176,2717083,2423018,1438,591,1453,527,2206.12202930064
2687.874359116848,2698.2656997516897,10.391340634841526,5584924,5538975,1999,1215,2000,1205,2161.9253566749353
2600.86747267599,2695.478529460575,94.61105678458489,3746575,3452520,1650,815,1675,751,2248.9322431157934
2634.1619204330477,2679.305750253079,45.14382982003144,5364478,5130139,2113,1167,2119,1116,2215.6377953587357
2659.6872374638115,2674.547824136407,14.860586672595673,3254999,3268764,1739,708,1719,711,2190.112478327972
2660.0773979151595,2673.049046381449,12.97164846628948,7997348,7942226,2048,1740,2066,1728,2189.722317876624
2439.821447910423,2671.7769356746744,231.9554877642513,6159357,5612548,2057,1340,2053,1221,2409.9782678813604
2633.8752867033504,2666.3316786960627,32.45639199271227,2395488,2234636,1493,521,1466,486,2215.924429088433
2622.8732271551353,2660.9952214428586,38.12199428772328,10344623,10266548,1278,2251,1318,2234,2226.926488636648
2490.2645884580647,2659.8199292798745,169.55534082180975,7413952,8185758,2217,1613,2063,1781,2359.5351273337187
2593.1608226553653,2657.250719296136,64.0898966407708,3181352,3241145,1612,692,1670,705,2256.638893136418
2637.0723159683616,2654.8709649967477,17.79864902838608,2060015,2128927,1455,448,1442,463,2212.727399823422
2633.222989945956,2647.208164928122,13.985174982165972,10409009,10344681,1334,2265,1336,2251,2216.5767258458272
2615.814625428484,2639.1977536893464,23.383128260862577,1968073,2069170,1413,428,1420,450,2233.9850903632996
2518.8719132252522,2635.4949783445372,116.623065119285,10386270,10349339,1570,2260,1399,2252,2330.927802566531
2611.1531204520456,2627.654609630131,16.501489178085194,3599481,3654648,1596,783,1623,795,2238.646595339738
2604.9949287499708,2625.55328353739,20.558354787419375,7956043,7841178,2098,1731,2108,1706,2244.8047870418127
2599.37973998711,2617.4757366256945,18.095996638584438,10330998,10308049,1438,2248,1464,2243,2250.4199758046734
2442.1063021294535,2617.204221636406,175.09791950695262,6513190,5185340,2075,1417,2180,1128,2407.69341366233
2580.7803046475287,2616.565484297756,35.78517965022729,7308186,7335720,2136,1590,2100,1596,2269.0194111442547
2555.9172962760704,2611.8733424626203,55.956046186549884,10229999,10197795,1529,2226,1490,2219,2293.882419515713
2588.045494288375,2611.0430036977664,22.99750940939157,8236333,8360399,2093,1792,2094,1819,2261.7542215034086
